TF,Targets
ADNP2,OPTN
ADNP2,ZDHHC3
ADNP2,NCOA7
ADNP2,AHI1
ADNP2,DCAF6
ADNP2,GALNT14
ADNP2,CAMKK2
ARID3A,CD63
ARID3A,ARL6IP5
ARID3A,SYTL1
ARID3A,PLP2
ARID3A,ARID3A
ARID3A,ANXA2
ARID3A,CLIC1
ARID3A,CAPG
ARID3A,PTPN1
ARID3A,S1PR4
ARID3A,SBF2-AS1
ARID3A,TCF4
ARID3A,ITGB7
ARID3A,OXR1
ARID3A,HMOX1
ARID3A,LMNA
ARID3A,DNAJC28
ARID3A,DOPEY2
ARID3A,THEMIS2
ARID3A,AHNAK
ARID3A,VOPP1
ARID3A,SLC38A7
ARID3A,MPG
ARID3A,HHAT
ARID3A,S100A11
ARID3A,LINC01485
ARID3A,SLC25A25
ARID3A,ZNF215
ARID3A,CLDN14
ARID3A,GSN
ARID3A,HIPK2
ARID3A,TMEM182
ARID3A,ZBTB32
ARID3A,EFCAB5
ARID3A,MYLPF
ARID3A,VPS8
ARID3A,TRIM36
ARNT,PI4KA
ARNT,RB1
ARNT,ST7
ARNT,SCAF1
ARNT,GMNN
ARNT,UGT8
ARNT,DIAPH2
ARNT,ZZEF1
ARNT,PGM3
ARNT,USP32
ARNT,NNT
ARNT,GZF1
ARNT,SLC11A2
ARNT,SMU1
ARNT,CSNK1G2
ARNT,VIPAS39
ARNT,DNAJC14
ARNT,ACSF2
ARNT,ZNF318
ARNT,PPP1R21
ARNT,SNX13
ARNT,SNRNP48
ARNT,WARS2
ARNT,PTPN22
ARNT,TGIF1
ARNT,ALDOC
ARNT,MAPK1
ARNT,PICALM
ARNT,ORMDL3
ARNT,PARP11
ARNT,KHK
ARNT,EPB41L2
ARNT,TPP2
ARNT,HUS1
ARNT,SIRT3
ARNT,PRKAR2B
ARNT,NEPRO
ARNT,SNAPC5
ARNT,TMEM131
ARNT,TFG
ATF1,AMPD3
ATF1,UBE2K
ATF1,PPP3R1
ATF1,ATXN2
ATF1,AAMP
ATF1,SCX
ATF1,PARVB
ATF1,NAA40
ATF1,GCAT
ATF1,RBM8A
ATF1,ABCC4
ATF1,TOPORS
ATF1,CEP112
ATF1,TNFRSF1B
ATF1,RBM25
ATF1,PGM2
ATF1,SAMM50
ATF1,PCED1A
ATF1,PNPT1
ATF1,B3GALNT1
ATF1,SPATA2L
ATF1,FANCD2
ATF1,MFN2
ATF1,BDP1
ATF1,TTC17
ATF1,KBTBD4
ATF1,SZRD1
ATF1,IRS1
ATF1,RCOR1
ATF1,FAM234A
ATF1,ZWILCH
ATF1,AKT1S1
ATF1,HOMEZ
ATF1,RIC1
ATF1,KLHL7
ATF1,MT2A
ATF1,FZD3
ATF1,KDSR
ATF1,TSPAN3
ATF1,TRAK2
ATF1,GPATCH4
ATF1,CYHR1
ATF1,RAD23A
ATF1,BRAF
ATF1,ANAPC10
ATF1,GLOD4
ATF1,TRIP6
ATF1,HNRNPU
ATF1,GEM
ATF1,CNTROB
ATF1,MRRF
ATF1,TBC1D25
ATF1,HIST1H4E
ATF1,CMSS1
ATF1,APTX
ATF1,GOLGA3
ATF1,TMEM147-AS1
ATF1,ERF
ATF1,NOLC1
ATF1,HAUS5
ATF1,EBF1
ATF1,NCDN
ATF1,BCL11A
ATF1,PLEKHA1
ATF1,LDHA
ATF1,ZNRD1
ATF1,CTU2
ATF1,TLE3
ATF1,GTPBP10
ATF1,LUZP1
ATF1,RPRD1A
ATF1,C2orf49
ATF1,CDCA5
ATF1,ABR
ATF1,SKIV2L
ATF1,MBIP
ATF1,NAF1
ATF1,SPRYD4
ATF1,ANAPC2
ATF1,ZSWIM7
ATF1,SRSF5
ATF1,DNAJC14
ATF1,CCT2
ATF1,DDX21
ATF1,HIP1R
ATF1,NETO2
ATF1,ARL4D
ATF1,DUSP3
ATF1,XPNPEP3
ATF1,KIAA1217
ATF1,POT1
ATF1,RCAN1
ATF1,WNT10A
ATF1,ADARB1
ATF1,MNT
ATF1,ATP6V1E2
ATF1,TBP
ATF1,XPO7
ATF1,SRSF6
ATF1,TBC1D7
ATF1,ACY3
ATF1,NCBP2
ATF1,VAMP3
ATF1,IL6
ATF1,YIF1B
ATF1,ZC3H18
ATF1,RHBDD1
ATF1,GYG1
ATF1,PICK1
ATF1,LZIC
ATF1,FBXO22
ATF1,AATF
ATF1,EPB41L2
ATF1,ZMYND19
ATF1,CDK4
ATF1,PFDN2
ATF1,PNPO
ATF1,SLC16A1
ATF1,WDR74
ATF1,PCGF1
ATF1,PDGFD
ATF1,THRA
ATF1,FAM120B
ATF1,NXF1
ATF1,TFE3
ATF1,CUX1
ATF1,MLST8
ATF1,MKNK1
ATF1,FAM168B
ATF1,SLC25A37
ATF1,ZFAND2B
ATF1,ELAVL1
ATF1,RAD51C
ATF1,LMCD1
ATF1,KDM4C
ATF1,CENPN
ATF1,RPS6KA3
ATF1,TFEB
ATF1,CPNE1
ATF1,ATP1B3
ATF1,ATF7IP
ATF1,SEC23B
ATF1,TRIOBP
ATF1,FDXR
ATF1,INSIG2
ATF1,USB1
ATF1,ZPR1
ATF1,GCN1
ATF1,STAT4
ATF1,MLX
ATF1,CD151
ATF1,PNMA6A
ATF1,TAF1
ATF1,TNFAIP1
ATF1,VPS52
ATF1,KCNAB2
ATF1,PDCD10
ATF1,SMIM14
ATF1,SMU1
ATF1,SYMPK
ATF1,ACVR2A
ATF1,CAPNS1
ATF1,PRNP
ATF1,SLC16A1-AS1
ATF1,LILRB3
ATF1,GART
ATF1,TRAF1
ATF1,MAD2L2
ATF1,NDFIP2
ATF1,HMGCR
ATF1,GTF2H3
ATF1,PPP1R37
ATF1,SF3B2
ATF1,ZNF780A
ATF1,TTI1
ATF1,PATL1
ATF1,C5orf30
ATF1,LGMN
ATF1,SPDL1
ATF1,NELFA
ATF1,PREPL
ATF1,FAM126B
ATF1,FIG4
ATF1,LINC00487
ATF1,KMT5A
ATF1,PNO1
ATF1,U2SURP
ATF1,SCAF11
ATF1,FRG1
ATF1,AAAS
ATF1,SCO1
ATF1,MAPK1IP1L
ATF1,PPP4R3A
ATF1,PIBF1
ATF1,UBE2N
ATF1,SLMAP
ATF1,MRPL3
ATF1,RCAN3
ATF1,SRFBP1
ATF1,NUMBL
ATF1,CRLF3
ATF1,NR2C2
ATF1,KCTD6
ATF1,C12orf49
ATF1,PATZ1
ATF1,ATF3
ATF1,ZNF593
ATF1,RBM23
ATF1,OPA3
ATF1,ABCE1
ATF1,ATG5
ATF1,FOXP1
ATF1,NARS2
ATF1,MAGOH
ATF1,POLR2H
ATF1,CCT7
ATF1,GTPBP4
ATF1,CCAR2
ATF1,PNP
ATF1,FAM131A
ATF1,HOMER1
ATF1,IDH3G
ATF1,C2orf42
ATF1,IRF5
ATF1,FAM96A
ATF1,MAFB
ATF1,TCOF1
ATF1,SNHG15
ATF1,HSP90AB1
ATF1,CEP120
ATF1,ANKRD11
ATF1,EIF5AL1
ATF1,RRP9
ATF1,SSSCA1
ATF1,SLC4A8
ATF1,LINC01431
ATF1,GTF2H1
ATF1,NDUFA10
ATF1,DTL
ATF1,EPB41
ATF1,XRCC6
ATF1,PCBP1
ATF1,EYA3
ATF1,WDR83
ATF1,PARP3
ATF1,ZFP36
ATF1,NRBP1
ATF1,SMC2
ATF1,TMEM237
ATF1,RSF1
ATF1,PELI3
ATF1,EFNA4
ATF1,PPM1A
ATF1,PMAIP1
ATF1,SKP2
ATF1,GAR1
ATF1,MDM4
ATF1,PPIL1
ATF1,NUDC
ATF1,BPTF
ATF1,C6orf52
ATF1,NAXE
ATF1,TBC1D9B
ATF1,TSR2
ATF1,SMYD3
ATF1,KIN
ATF1,METTL13
ATF1,GSPT1
ATF1,RPS3A
ATF1,CNOT9
ATF1,FAM122B
ATF1,ZNF644
ATF1,HELQ
ATF1,IFT80
ATF1,METRNL
ATF1,TMEM14B
ATF1,DEPDC5
ATF1,UBE2V2
ATF1,REL
ATF1,DUSP2
ATF1,VRK2
ATF1,SEC24A
ATF1,AP5S1
ATF1,LSM1
ATF1,YRDC
ATF1,KDM4B
ATF1,ZMYND8
ATF1,ADAM10
ATF1,RMND1
ATF1,UBE2D3
ATF1,HNRNPF
ATF1,CDC16
ATF1,RNF219
ATF1,HGH1
ATF1,GPN1
ATF1,TPST1
ATF1,PHF5A
ATF1,GLI4
ATF1,HOTAIRM1
ATF1,TAF2
ATF1,PLAGL1
ATF1,JOSD2
ATF1,REV1
ATF1,NCOA2
ATF1,TBC1D15
ATF1,TMUB1
ATF1,RECQL5
ATF1,XXYLT1
ATF1,JUP
ATF1,TMEM183A
ATF1,ACIN1
ATF1,E2F8
ATF1,UTP6
ATF1,TUFM
ATF1,ATXN1
ATF1,WDR75
ATF1,DNER
ATF1,NEK9
ATF1,RPS29
ATF1,UBC
ATF1,PHF20
ATF1,NCOA1
ATF1,RPS6KB2
ATF1,ATL3
ATF1,CDC40
ATF1,PRPF18
ATF1,POFUT1
ATF1,TMEM251
ATF1,RPL38
ATF1,BLCAP
ATF1,PPIL2
ATF1,OLA1
ATF1,EIF2B5
ATF1,TRNT1
ATF1,AAR2
ATF1,PWP2
ATF1,ZSCAN16
ATF1,SLC39A6
ATF1,EIF4A1
ATF1,C20orf27
ATF1,FOSL1
ATF1,MTA2
ATF1,SCFD2
ATF1,C12orf29
ATF1,HIST1H4D
ATF1,TUSC2
ATF1,INF2
ATF1,MED4
ATF1,NPM1
ATF1,UTP3
ATF1,TMEM147
ATF1,COPS8
ATF1,MAT2A
ATF1,CHD1
ATF1,BCL2L1
ATF1,SNHG19
ATF1,ILF2
ATF1,WDR18
ATF1,BIRC2
ATF1,PCIF1
ATF1,RPS27A
ATF1,ILF3
ATF1,VAMP5
ATF1,SIKE1
ATF1,KIAA0319L
ATF1,MPHOSPH8
ATF1,TCEA2
ATF1,ATP2A3
ATF1,CAPG
ATF1,GABPB1
ATF1,JKAMP
ATF1,SET
ATF1,SETD4
ATF1,SCNM1
ATF1,BLOC1S2
ATF1,IMPDH2
ATF1,NUP107
ATF1,NR1H2
ATF1,SSBP1
ATF1,SLC46A3
ATF1,SDCBP
ATF1,ZDHHC7
ATF1,POC1B
ATF1,RPS27
ATF1,SF3A3
ATF1,NUP54
ATF1,TIMM17A
ATF1,KAT2B
ATF1,TIGD1
ATF1,GTF2H2
ATF1,PDSS1
ATF1,ENO1
ATF1,CCNYL1
ATF1,NDUFAF4
ATF1,COA1
