TF,Targets
AHR,AMPD2
AHR,BCL2L1
AHR,EML3
AHR,ZNF790
AHR,MYD88
AHR,SH3BP5
AHR,ATAD2B
AHR,C16orf72
AHR,GRWD1
AHR,ZNF711
AHR,ABHD10
AHR,MRM3
AHR,ZNF566
AHR,UBE2F
AHR,AHR
AHR,ETHE1
AHR,UBAP2
AHR,IRF5
AHR,ACTR5
AHR,USP38
AHR,BUD31
AHR,RSF1
AHR,DLEU2
AHR,EEA1
AHR,RNF139
AHR,U2SURP
AHR,TMEM120B
AHR,MIR155HG
AHR,SRSF6
AHR,ZBTB10
AHR,STX6
AHR,ERCC6
AHR,ZNF146
AHR,LEAP2
AHR,PURB
ARID3A,OXR1
ARID3A,LMNA
ARID3A,GSN
ARID3A,AHNAK
ARID3A,AFF1
ARID3A,SLC7A11
ARID3A,MDC1
ARID3A,S100A11
ARID3A,FXYD1
ARID3A,HMOX1
ARID3A,SBF2-AS1
ARID3A,UBASH3B
ARID3A,CREB3L2
ARID3A,MIER2
ARID3A,ZNF331
ARID3A,FLT1
ARID3A,OTUD7B
ARID3A,PDGFA
ARID3A,HIPK2
ARID3A,PTPN1
ARID3A,RTKN
ARID3A,ENTPD7
ARID3A,CLDN14
ARID3A,IRF2BP2
ARID3A,FBXO32
ARID3A,EPHB6
ARID3A,S1PR4
ARID3A,ARID3A
ARID3A,TCF4
ARID3A,LRRC8D
ARID3A,SYTL1
ARID3A,APOBR
ARID3A,PRCP
ARID3A,TRMT44
ARID3A,ARIH1
ARID3A,MMGT1
ARID3A,TIMP1
ARID3A,SLC25A25
ARID3A,PRDM1
ARID3A,IRAK3
ARID3A,DOPEY2
ARID3A,CCL5
ARID3A,C2orf74
ARID3A,PLP2
ARID3A,CPEB4
ARID3A,EDEM3
ARID3A,FAM131C
ARID3A,MBNL1-AS1
ARID3A,ALDH1L2
ARNT,RB1
ARNT,ADD3
ARNT,MON1A
ARNT,NEPRO
ARNT,TP53I11
ARNT,ARID4A
ARNT,SOX4
ARNT,C5orf63
ARNT,ALDOC
ARNT,CYP51A1
ARNT,RASGRP2
ARNT,FAM208A
ARNT,UBE3C
ARNT,TMEM131
ARNT,ACSF2
ARNT,SLC11A2
ARNT,PGM3
ARNT,TGIF1
ARNT,APEX2
ATF1,GRPEL1
ATF1,TRIP6
ATF1,GEM
ATF1,HIST1H4E
ATF1,PPP2R2A
ATF1,APTX
ATF1,ERF
ATF1,MAST3
ATF1,C2orf49
ATF1,MFN2
ATF1,KCNAB2
ATF1,REL
ATF1,RPL38
ATF1,PHF20
ATF1,MUT
ATF1,FADS2
ATF1,TTC27
ATF1,POC1B
ATF1,IKBKB
ATF1,FDXR
ATF1,RPS6KB2
ATF1,NAA40
ATF1,RPS27
ATF1,CDC23
ATF1,PNP
ATF1,SLC16A1-AS1
ATF1,AASS
ATF1,ZNF385C
ATF1,SCX
ATF1,NOP58
ATF1,PPP3R1
ATF1,TNIP1
ATF1,CEP112
ATF1,PPP1R11
ATF1,BZW2
ATF1,RNF139
ATF1,IL13RA1
ATF1,POLDIP3
ATF1,GAR1
ATF1,DDX18
ATF1,CTPS1
ATF1,TNFAIP8
ATF1,MRPL3
ATF1,POU3F1
ATF1,GCAT
ATF1,GK5
ATF1,ATP11A
ATF1,TNKS2-AS1
ATF1,PRPF40A
ATF1,CHEK1
ATF1,TSR2
ATF1,RPL21
ATF1,EYA3
ATF1,SMYD3
ATF1,SERPINE2
ATF1,EDRF1
ATF1,PDSS1
ATF1,TAF2
ATF1,UTP4
ATF1,UTP3
ATF1,CYHR1
ATF1,ANAPC10
ATF1,YTHDC2
ATF1,GLOD4
ATF1,CYCS
ATF1,RPS29
ATF1,BIRC2
