TF,Targets
AHR,TMEM120B
AHR,ZNF566
AHR,MRM3
AHR,U2SURP
AHR,ZNF711
AHR,EML3
AHR,PURB
AHR,AARS
AHR,AMPD2
AHR,ACTR5
AHR,SRSF6
AHR,ABHD10
AHR,DLEU2
AHR,RSF1
AHR,GRWD1
AHR,MYD88
AHR,EEA1
AHR,BCL2L1
AHR,SESN2
AHR,CCDC174
AHR,IPO7
AHR,PDK1
ARID3A,KIAA1551
ARID3A,OTUD7B
ARID3A,EFCAB5
ARID3A,PLP2
ARID3A,ARID3A
ARID3A,AHNAK
ARID3A,ANXA2
ARID3A,CD63
ARID3A,PTPN1
ARID3A,VIM
ARID3A,OXR1
ARID3A,CD109
ARID3A,DNAJB5
ARID3A,ARL6IP5
ARID3A,LMNA
ARID3A,HMOX1
ARID3A,TCF4
ARID3A,SYTL1
ARID3A,CAPG
ARID3A,HIPK2
ARID3A,CLDN14
ARID3A,GSN
ARID3A,PDGFA
ARID3A,SBF2-AS1
ARID3A,NBPF14
ARID3A,EPHB6
ARID3A,FLT1
ARNT,ACSF2
ARNT,SNX16
ARNT,RIN3
ARNT,CAMSAP1
ARNT,KHK
ARNT,GABARAPL1
ARNTL2,NEDD4L
ARNTL2,AKAP11
ARNTL2,C16orf91
ARNTL2,NFATC3
ARNTL2,OTUD6B
ARNTL2,NDFIP2
ARNTL2,PER2
ARNTL2,PAF1
ARNTL2,DYNLT3
ARNTL2,NOM1
ARNTL2,LONP1
ARNTL2,ADAM10
ARNTL2,JARID2
ARNTL2,CSNK1G2
ARNTL2,ERBIN
ARNTL2,SYNRG
ARNTL2,BEX4
ARNTL2,TUBGCP6
ARNTL2,AHCYL1
ARNTL2,LDAH
ARNTL2,SLC25A39
ARNTL2,SLC35A5
ARNTL2,BRD2
ARNTL2,SGTA
ARNTL2,RASAL1
ARNTL2,RFX1
ARNTL2,ILVBL
ARNTL2,SEC14L1
ARNTL2,C5orf51
ARNTL2,ECE1
ARNTL2,FAM177A1
ARNTL2,YY1
ARNTL2,LUZP1
ARNTL2,CMTR2
ARNTL2,DYRK1A
ARNTL2,MTFR1
ARNTL2,FOXP1
ARNTL2,EGR1
ARNTL2,SGF29
ARNTL2,MRPL2
ARNTL2,RAB11FIP4
ARNTL2,PUM1
ARNTL2,TOPORS
ARNTL2,RAB29
ARNTL2,SIN3A
ARNTL2,TRAK1
ARNTL2,NAB1
ARNTL2,ZNF584
