TF,Targets
ARID3A,KIAA1551
ARID3A,CD63
ARID3A,LRRC8D
ARID3A,ARL6IP5
ARID3A,SYTL1
ARID3A,PLP2
ARID3A,ARID3A
ARID3A,AHNAK
ARID3A,ANXA2
ARID3A,CLIC1
ARID3A,TCF4
ARID3A,DOPEY2
ARID3A,CAPG
ARID3A,VIM
ARID3A,DNAJB5
ARID3A,U2AF1L4
ARID3A,MPG
ARID3A,LMNA
ARID3A,OXR1
ARID3A,HMOX1
ARID3A,MAST3
ARID3A,EDEM3
ARID3A,PTPN1
ARID3A,ZNF2
ARID3A,SND1-IT1
ARID3A,ZNF215
ARID3A,S1PR4
ARID3A,ITGB7
ARID3A,CAPS
ARID3A,OTUD7B
ARID3A,SBF2-AS1
ARID3A,SLC25A25
ARID3A,FBXO32
ARID3A,TFE3
ARID3A,CLDN14
ARID3A,SLC38A7
ARID3A,ZNF117
ARID3A,PDGFA
ARID3A,BTD
ARID3A,C1orf56
ARID3A,RTKN
ARID3A,RORA
ARNTL2,BEX4
ARNTL2,PAF1
ARNTL2,TRAK1
ARNTL2,CCDC92
ARNTL2,NUAK2
ARNTL2,PUM1
ARNTL2,NTHL1
ARNTL2,E2F1
ARNTL2,RAB29
ARNTL2,RUSC1
ARNTL2,PFKFB3
ARNTL2,ZCCHC9
ARNTL2,PAFAH1B2
ARNTL2,NEDD4L
ARNTL2,SLC25A39
ARNTL2,NAB1
ARNTL2,MT2A
ARNTL2,PPP3R1
ARNTL2,ADNP
ARNTL2,MPND
ARNTL2,NCOA7
ARNTL2,KANK2
ARNTL2,JARID2
ARNTL2,LDAH
ARNTL2,RASAL1
ARNTL2,S100PBP
ARNTL2,PPP2R5A
ARNTL2,EHD4
ARNTL2,AKAP11
ARNTL2,TOPBP1
ARNTL2,SIN3A
ARNTL2,ECE1
ARNTL2,PARD6A
ARNTL2,DYRK1A
ARNTL2,NUTM2B-AS1
ARNTL2,ZNF672
ARNTL2,ESYT2
ARNTL2,TUBGCP6
ARNTL2,DDX19A
ARNTL2,RFWD3
ARNTL2,LONP1
ARNTL2,FOXP1
ARNTL2,C5orf51
ARNTL2,METTL22
ARNTL2,NBEAL1
ARNTL2,CEP85
ARNTL2,RFX1
ARNTL2,CD2AP
ARNTL2,SLC35A5
ARNTL2,ZCCHC17
