TF,Targets
ARID3A,ARL6IP5
ARID3A,PLP2
ARID3A,SYTL1
ARID3A,CD63
ARID3A,ARID3A
ARID3A,LMNA
ARID3A,ANXA2
ARID3A,CLIC1
ARID3A,AHNAK
ARID3A,CAPG
ARID3A,PTPN1
ARID3A,TCF4
ARID3A,S1PR4
ARID3A,OXR1
ARID3A,MPG
ARID3A,ZNF215
ARID3A,ITGB7
ARID3A,RORA
ARID3A,CLDN14
ARID3A,SLC25A25
ARID3A,TMEM182
ARID3A,VIM
ARNT,PI4KA
ARNT,RB1
ARNT,DIAPH2
ARNT,SLC11A2
ARNT,SCAF1
ARNT,ACSF2
ARNT,NNT
ARNT,REPIN1
ARNT,BCAT1
ARNT,ALDOC
ARNT,ST7
ARNT,MAPK1
ARNT,VPS45
ARNT,SNRNP48
ARNT,USP32
ARNT,UGT8
ARNT,ZZEF1
ARNT,ZNF318
ARNT,PICALM
ARNT,VPS50
ARNTL,RAB7A
ARNTL,SERPINE2
ARNTL,PHF20
ARNTL,RAB5A
ARNTL,VPS50
ARNTL,SPTLC2
ARNTL,NHLRC3
ARNTL,ACP5
ARNTL,DDB1
ARNTL,ZDHHC21
ARNTL,TMEM126B
ARNTL,COPRS
ARNTL,SRPK2
ARNTL,LRPPRC
ARNTL,PRKAG2
ARNTL,ABHD10
ARNTL,AASDHPPT
ARNTL,ORAI3
ARNTL,RABGAP1
ARNTL,TBK1
ARNTL,DDIT3
ARNTL,MRPL2
ARNTL,KIDINS220
ARNTL,SNX10
ARNTL,LST1
ARNTL,COPS7A
ARNTL,FGD5-AS1
ARNTL,KDM4B
ARNTL,OPA3
ARNTL,SDF4
ARNTL,CCR6
ARNTL,NAB2
ARNTL,BCLAF1
ARNTL,FAM184B
ARNTL,RPUSD2
ARNTL,ZNF143
ARNTL,NUP93
ARNTL,PSME4
ARNTL2,C5orf51
ARNTL2,SLC30A9
ARNTL2,JARID2
ARNTL2,GGA1
ARNTL2,DYRK1A
ARNTL2,LONP1
ARNTL2,BRD2
ARNTL2,AHCYL1
ARNTL2,PPP2R5A
ARNTL2,TRAK1
ARNTL2,LDAH
ARNTL2,CHD2
ARNTL2,PER2
ATF1,MFN2
ATF1,SREK1
ATF1,SCX
ATF1,PARVB
ATF1,ZFP36
ATF1,SLC19A2
ATF1,ATG13
ATF1,GRPEL1
ATF1,TMEM147-AS1
ATF1,POC1B
ATF1,CDK4
ATF1,CCAR1
ATF1,CCDC6
ATF1,SMS
ATF1,DTL
ATF1,UBC
ATF1,CDC23
ATF1,EPB41L2
ATF1,FOSL1
ATF1,GTF2H2
ATF1,PGM2
ATF1,PIGF
ATF1,PRNP
ATF1,KDSR
ATF1,STARD5
ATF1,MPHOSPH8
ATF1,ELAVL1
ATF1,SLC25A37
ATF1,NOLC1
ATF1,NCDN
ATF1,GPAM
ATF1,RBM15
ATF1,PPP3R1
ATF1,ANAPC2
ATF1,ILF3
ATF1,NAA40
ATF1,KCNAB2
ATF1,RPS27
ATF1,IFT80
ATF1,MAD2L2
ATF1,C20orf27
ATF1,PHF5A
ATF1,PREPL
ATF1,WDR18
ATF1,TMEM242
ATF1,ATF1
ATF1,PIGC
ATF1,BLOC1S4
ATF1,FAM160A2
ATF1,FZD3
ATF1,TSPAN3
ATF1,DNAJA4
ATF1,TOB1
ATF1,ZNF502
ATF1,U2SURP
ATF1,XPO4
ATF1,TRIP6
ATF1,HNRNPU
ATF1,GEM
ATF1,CNTROB
ATF1,NDUFA10
ATF1,XPO7
ATF1,CDC5L
ATF1,CCDC86
ATF1,RELB
ATF1,ERF
ATF1,PWP1
ATF1,BCL11A
ATF1,HSP90AB1
ATF1,TBC1D7
ATF1,KDM4C
ATF1,ACY3
ATF1,ZNRD1
ATF1,NCBP2
ATF1,RPRD1A
ATF1,RING1
ATF1,HOMEZ
ATF1,CEP120
ATF1,MBIP
ATF1,SEC23B
ATF1,REL
ATF1,LUC7L2
ATF1,TNFAIP1
ATF1,TLE3
ATF1,PPA1
ATF1,ATP1B3
ATF1,MUT
ATF1,ABR
ATF1,GCC1
ATF1,LINC01013
ATF1,ATL3
ATF1,SPRYD4
ATF1,RPL21
ATF1,DPM1
ATF1,RIC1
ATF1,CWC25
ATF1,HMGCR
ATF1,RHBDD1
ATF1,EIF5AL1
ATF1,UBE2D3
ATF1,RELA
ATF1,NR1H2
ATF1,RPS17
ATF1,TUFM
ATF1,PUF60
ATF1,NETO2
ATF1,CASD1
ATF1,NSUN4
ATF1,PNMA6A
ATF1,SPECC1L
ATF1,GK
ATF1,BAIAP2
ATF1,ZNF408
ATF1,AP4M1
ATF1,CYHR1
ATF1,RAD23A
ATF1,ANAPC10
ATF1,JOSD2
ATF1,GLOD4
ATF1,ACBD4
ATF1,CYCS
ATF1,XPNPEP3
ATF1,MRRF
ATF1,TBC1D25
ATF1,LTBP1
ATF1,CMSS1
ATF1,APTX
ATF1,GOLGA3
ATF1,NARS2
ATF1,CBWD1
ATF1,HAUS5
ATF1,RNPS1
ATF1,USP32
ATF1,PLEKHA1
ATF1,CTU2
ATF1,C2orf49
ATF1,CDCA5
ATF1,RHEB
ATF1,NAT10
ATF1,XRCC6
ATF1,PMAIP1
ATF1,ZSWIM7
ATF1,CCDC59
ATF1,AASDHPPT
ATF1,HNRNPH1
ATF1,EIF4EBP1
ATF1,SCAF11
ATF1,GNL2
ATF1,FDXR
ATF1,RNF4
ATF1,RPL26L1
ATF1,TTC17
ATF1,ZNF711
ATF1,GZF1
ATF1,NDRG4
ATF1,MAP3K12
ATF1,CNFN
ATF1,TRNT1
ATF1,CHMP1B
ATF1,MIEN1
ATF1,UBE2Q1
ATF1,EXOSC7
ATF1,AMD1
ATF1,WBP1L
ATF1,RPS21
ATF1,INF2
ATF1,TRAF1
ATF1,CDK19
ATF1,CD82
ATF1,RNF139
ATF1,SH3YL1
ATF1,DDX18
ATF1,MTX2
ATF1,DHX16
ATF1,ATP6V1E1
ATF1,CEP78
ATF1,CBFA2T2
ATF1,WNT10A
ATF1,SLC39A13
ATF1,TUBB3
ATF1,HIST1H2AJ
ATF1,LPCAT1
ATF1,FAM168B
ATF1,ZMYND19
ATF1,UTP6
ATF1,ABCC4
ATF1,YTHDC2
ATF1,TNFRSF1B
ATF1,NFYC
ATF1,GTPBP10
ATF1,HMGCS1
ATF1,FAM234A
ATF1,DDX19A
ATF1,LUZP1
ATF1,PHF20
ATF1,PPIG
ATF1,FANCD2
ATF1,NAF1
ATF1,PRPF38A
ATF1,ING4
ATF1,RPS6KB2
ATF1,SLC25A33
ATF1,LRRC37B
ATF1,RREB1
ATF1,CEBPG
ATF1,TWISTNB
ATF1,KCTD7
ATF1,DNAJC14
ATF1,TOMM40
ATF1,RPF1
ATF1,LZIC
ATF1,VDR
ATF1,ZNF165
ATF1,NCALD
ATF1,TRAK2
ATF1,SIKE1
ATF1,LRRC47
ATF1,NMD3
ATF1,KIF13B
ATF1,KLHL42
ATF1,PSEN2
ATF1,SP110
ATF1,OARD1
ATF1,DIAPH1
ATF1,FANCF
ATF1,ZNF263
ATF1,HIST1H2BG
ATF1,ORC2
ATF1,JKAMP
ATF1,SRD5A3
ATF1,ATF3
ATF1,IMPDH2
ATF1,UBA6
ATF1,VPS4B
ATF1,SRRT
ATF1,BDP1
ATF1,TIMM17A
ATF1,NDFIP2
ATF1,CADPS
ATF1,MAFB
ATF1,TDRD3
ATF1,SF3B2
ATF1,MTF1
ATF1,CDKN1A
ATF1,DSE
ATF1,IKBKB
ATF1,SLC37A4
ATF1,MKRN2
ATF1,ANKHD1
ATF1,MORF4L1
ATF1,TAF2
ATF1,HIP1R
ATF1,PACSIN3
ATF1,SDCBP
ATF1,RBM8A
ATF1,GGPS1
ATF1,SMC5
ATF1,PSPH
ATF1,SCO1
ATF1,GADD45B
ATF1,SLC43A2
ATF1,NOP2
ATF1,COPZ1
ATF1,RCOR1
ATF1,COA1
ATF1,KIAA1328
ATF1,SRSF6
ATF1,JUP
ATF1,CAPNS1
ATF1,SYTL2
ATF1,FAM162A
ATF1,CHEK1
ATF1,SIN3A
ATF1,NFIC
ATF1,TUBA1C
ATF1,LRPPRC
ATF1,MLLT10
ATF1,IRF5
ATF1,TOR1AIP2
ATF1,SNW1
ATF1,WBP11
ATF1,ABLIM2
ATF1,ZNF566
ATF1,IL13RA1
ATF1,ERO1A
ATF1,NAIF1
ATF1,RPL39
ATF1,BIRC2
ATF1,EPB41
ATF1,TTC27
ATF1,PIM3
ATF1,MAP3K7
ATF1,NOP58
ATF1,GOSR1
ATF1,TTF2
ATF1,VPS13A
ATF1,MPDU1
ATF1,KDM3A
ATF1,RSL1D1
ATF1,GCAT
ATF1,SPTAN1
ATF1,DDX5
ATF1,UTP18
ATF1,MT2A
ATF1,DCUN1D5
ATF1,ZHX1
ATF1,POLR2H
ATF1,CCT2
ATF1,AATF
ATF1,AAR2
ATF1,TNFAIP8
ATF1,SZRD1
ATF1,DNAJC2
ATF1,TCP1
ATF1,MRFAP1L1
ATF1,KLHL7
ATF1,SNX16
ATF1,ANKFY1
ATF1,FAM13B
ATF1,PPP1CB
ATF1,CHID1
ATF1,PFDN2
ATF1,ODC1
ATF1,MBD6
ATF1,EEF1B2
ATF1,IQCE
ATF1,RALGDS
ATF1,GPX4
ATF1,SET
ATF1,GTPBP4
ATF1,MBD1
ATF1,LINC00526
ATF1,MAN2A2
ATF1,M6PR
ATF1,YPEL1
ATF1,PUS7
ATF1,TMUB1
ATF1,MYBBP1A
ATF1,STAU1
ATF1,VPS52
ATF1,PRPF40A
ATF1,PRKAR2B
ATF1,NOM1
ATF1,INSIG2
ATF1,PLAGL1
ATF1,CD47
ATF1,RPS3A
ATF1,PPP1R11
ATF1,MAGED2
ATF1,BCLAF1
ATF1,ZPR1
ATF1,COPB2
ATF1,CEP164
ATF1,ZSCAN16
ATF1,GTF2B
ATF1,NPTX2
ATF1,SOAT1
ATF1,LPAR2
ATF1,EDRF1
ATF1,SMC2
ATF1,GLTP
ATF1,SNHG15
ATF1,PPM1A
ATF1,SLC46A3
ATF1,SF1
ATF1,PABPC1
ATF1,GART
ATF1,SRSF5
ATF1,MYO1C
ATF1,PSME4
ATF1,CAMK1D
ATF1,UBE2N
ATF1,YRDC
ATF1,ZNF780A
ATF1,TTI1
ATF1,WDR74
ATF1,IFT20
ATF1,SMYD3
ATF1,CIR1
ATF1,MAGOH
ATF1,GOLGA2
ATF1,CBL
ATF1,WDR75
ATF1,THRAP3
ATF1,ABT1
ATF1,BZW2
ATF1,POLR2K
ATF1,ILF2
ATF1,EFCAB2
ATF1,METRNL
ATF1,DDIAS
ATF1,TASP1
ATF1,PHF13
ATF1,TRIM28
ATF1,RNF44
ATF1,OPA3
ATF1,GTF2H1
ATF1,PPP2R2A
ATF1,COQ7
ATF1,ZFAND2B
ATF1,REV1
ATF1,MOCS3
ATF1,KTI12
ATF1,BCL2L1
ATF1,UPF3B
ATF1,MXI1
ATF1,NR4A3
ATF1,FAM131A
ATF1,ZC3H10
ATF1,ZNF584
ATF1,EYA3
ATF1,RSF1
ATF1,TCEA2
ATF1,TMEM251
ATF1,SMIM14
