TF,Targets
ARID3A,ANXA2
ARID3A,PLP2
ARID3A,AHNAK
ARID3A,CD63
ARID3A,KIAA1551
ARID3A,ARL6IP5
ARID3A,VIM
ARID3A,PTPN1
ARID3A,SYTL1
ARID3A,LMNA
ARID3A,OTUD7B
ARID3A,ARID3A
ARID3A,TCP11L2
ARID3A,EDEM3
ARID3A,EYA2
ARID3A,MMGT1
ARID3A,IRAK3
ARID3A,TCF4
ARID3A,CLDN14
ARNT,PGM3
ARNT,UGT8
ARNT,RASGRP2
ARNT,SCAF1
ARNT,FAM208A
ARNT,EPB41L2
ARNT,SOX4
ARNT,RB1
ARNT,ACSF2
ARNT,ZZEF1
ARNT,SLC11A2
ARNT,VPS50
ARNT,MAPK1
ARNT,ST7
ARNT,ALDOC
ARNT,USP32
ARNT,PI4KA
ARNT,VIPAS39
ARNT,NNT
ARNT,UBE3C
ARNT,DIAPH2
ARNT,SNRNP48
ARNT,GZF1
ARNT,BCAT1
ARNT,PPP1R21
ARNT,ZNF318
ARNT,ZADH2
ARNTL,PHF20
ARNTL,COPS7A
ARNTL,NAB2
ARNTL,COPRS
ARNTL,MRPL2
ARNTL,DDB1
ARNTL,RAB5A
ARNTL,VPS50
ARNTL,RAB7A
ARNTL,KDM4B
ARNTL,SRPK2
ARNTL,FAM184B
ARNTL,NHLRC3
ARNTL,ACP5
ARNTL,TMEM126B
ARNTL,RABGAP1
ARNTL,KIDINS220
ARNTL,SDF4
ARNTL2,JARID2
ARNTL2,OTUD6B
ARNTL2,PUM1
ARNTL2,E2F1
ARNTL2,GTF2H3
ARNTL2,CDKN1B
ARNTL2,BRD2
ARNTL2,RASAL1
ARNTL2,PPP2R5A
ARNTL2,FAM177A1
ARNTL2,SC5D
ARNTL2,PAFAH1B2
ARNTL2,WDR82
ARNTL2,C16orf91
ARNTL2,BEX4
ARNTL2,PER2
ARNTL2,AKAP11
ARNTL2,ERBIN
ARNTL2,SLC30A9
ARNTL2,NAB1
ARNTL2,CCDC92
ARNTL2,DDX19A
ARNTL2,LUZP1
ARNTL2,DYNLT3
ARNTL2,ILVBL
ARNTL2,ESYT2
ARNTL2,TAGLN2
ARNTL2,IVNS1ABP
ARNTL2,ARFGEF1
ARNTL2,FOXP1
ARNTL2,C5orf51
ARNTL2,PAXIP1
ARNTL2,AHCYL1
ARNTL2,ANAPC2
ARNTL2,SGF29
ARNTL2,DDX3Y
ARNTL2,AHNAK
ARNTL2,ZC3HAV1
ARNTL2,LDAH
ARNTL2,TUBGCP6
ARNTL2,NEDD4L
ARNTL2,YY1
ARNTL2,PRKCE
ARNTL2,CD2AP
ARNTL2,RFWD3
ARNTL2,ZCCHC17
ARNTL2,PITPNM1
ARNTL2,EHD4
ARNTL2,OGFR
ARNTL2,SLC25A39
ARNTL2,SLC25A40
ARNTL2,LIPE-AS1
ARNTL2,RFX1
ARNTL2,PRR7
ARNTL2,EGR1
ARNTL2,KANK2
ARNTL2,ADAM10
ARNTL2,LONP1
ARNTL2,METTL22
ARNTL2,NBEAL1
ARNTL2,TRAK1
ARNTL2,CHD2
ARNTL2,CXXC5
ARNTL2,SLC43A1
ARNTL2,ATAD3A
ARNTL2,DGKZ
ARNTL2,TRA2B
ARNTL2,S100PBP
ARNTL2,KCTD5
ARNTL2,PHF13
ARNTL2,KAT8
ARNTL2,SNRNP40
ARNTL2,PFKFB3
ARNTL2,BIN3
ARNTL2,RAB29
ARNTL2,TRAF3IP3
ARNTL2,ECE1
ARNTL2,DYRK1A
ARNTL2,NFATC3
ARNTL2,NCOA7
ARNTL2,NARF
ARNTL2,MT2A
ARNTL2,MTFR1
ARNTL2,NPAT
ARNTL2,GGA1
ARNTL2,NDFIP2
ARNTL2,RAB11FIP4
ARNTL2,DNAJC9
ARNTL2,SIN3A
ARNTL2,GUF1
ARNTL2,METTL5
ARNTL2,DUSP14
ARNTL2,PAF1
ARNTL2,ZNF584
ATF1,CDC25B
ATF1,ATF3
ATF1,BRAF
ATF1,ZNF295-AS1
ATF1,ABCE1
ATF1,JOSD2
ATF1,GLOD4
ATF1,MRM3
ATF1,TRIP6
ATF1,CYCS
ATF1,MYO1G
ATF1,RPS29
ATF1,BIRC2
ATF1,HNRNPU
ATF1,GEM
ATF1,CNTROB
ATF1,FOXP1
ATF1,MRRF
ATF1,TUBB2A
ATF1,SNHG15
ATF1,TBC1D25
ATF1,XPO7
ATF1,CMSS1
ATF1,PPM1A
ATF1,PPP2R2A
ATF1,CDC5L
ATF1,WDR82
ATF1,DTL
ATF1,POT1
ATF1,KLC1
ATF1,APTX
ATF1,LINC01431
ATF1,IMPDH2
ATF1,GOLGA3
ATF1,ZFAND2B
ATF1,CCDC86
ATF1,NARS2
ATF1,RELB
ATF1,ERF
ATF1,ESYT2
ATF1,NSUN4
ATF1,NOLC1
ATF1,HAUS5
ATF1,EBF1
ATF1,NCDN
ATF1,TBC1D7
ATF1,REV1
ATF1,PLEKHA1
ATF1,ZNRD1
ATF1,CTU2
ATF1,RPRD1A
ATF1,NFATC2
ATF1,EIF4A2
ATF1,PCGF1
ATF1,RING1
ATF1,HOMEZ
ATF1,GPAM
ATF1,SKIV2L
ATF1,DDX19A
ATF1,CIC
ATF1,MAGOH
ATF1,MBIP
ATF1,MFN2
ATF1,TBC1D15
ATF1,FANCD2
ATF1,XRCC6
ATF1,GTPBP10
ATF1,CEP120
ATF1,SEC23B
ATF1,ZSWIM7
ATF1,ATL3
ATF1,NAF1
ATF1,EPB41L2
ATF1,NAA50
ATF1,FZD3
ATF1,NAA40
ATF1,RIC1
ATF1,STX6
ATF1,PCED1A
ATF1,RREB1
ATF1,RPS27
ATF1,IRS1
ATF1,EIF2B1
ATF1,SERPINE2
ATF1,ZMYND19
ATF1,TMUB1
ATF1,ABT1
ATF1,EDEM1
ATF1,MRPS10
ATF1,RPL26L1
ATF1,SNF8
ATF1,UBL7
ATF1,CASD1
ATF1,SEZ6
ATF1,ARRDC5
ATF1,GK5
ATF1,MNT
ATF1,FBXO10
ATF1,HOMER1
ATF1,NAPA-AS1
ATF1,ADARB1
ATF1,ZNF165
ATF1,RAI1
ATF1,MAP3K12
ATF1,NDRG4
ATF1,RCAN1
ATF1,TMEM147-AS1
ATF1,NCALD
ATF1,LINC00501
ATF1,SNX16
ATF1,THAP8
ATF1,GLCE
ATF1,SRSF2
ATF1,CLCF1
ATF1,PDS5A
ATF1,NXF1
ATF1,C8orf37
ATF1,PODXL2
ATF1,WDR45B
ATF1,TSN
ATF1,GPAT2
ATF1,SMIM10
ATF1,RNPS1
ATF1,FAM234A
ATF1,SRGAP2C
ATF1,PDSS1
ATF1,TAF2
ATF1,CAPNS1
ATF1,KDSR
ATF1,ZNF551
ATF1,ABCC10
ATF1,CCDC174
ATF1,BCAT1
ATF1,TMEM19
ATF1,DHX58
ATF1,NR4A3
ATF1,COQ7
ATF1,NUPL2
ATF1,SRSF6
ATF1,KDM4C
ATF1,C2orf49
ATF1,RABL6
ATF1,KCNAB2
ATF1,DMC1
ATF1,RPL38
ATF1,GCC1
ATF1,AP5S1
ATF1,MTERF1
ATF1,ZFP36
ATF1,RAN
ATF1,CEP112
ATF1,EIF4A1
ATF1,CC2D1B
ATF1,PATL1
ATF1,SLC16A1-AS1
ATF1,MAD2L2
ATF1,C20orf27
ATF1,GTF2H3
ATF1,WDR18
ATF1,CCDC85B
ATF1,PDGFD
ATF1,FOSL1
ATF1,ATF1
ATF1,POLDIP3
ATF1,AATF
ATF1,TTC17
ATF1,MYO9B
ATF1,IMPA1
ATF1,RBM22
ATF1,TBC1D9B
ATF1,ATP6AP2
ATF1,LILRB3
ATF1,C10orf95
ATF1,LPCAT1
ATF1,AUNIP
ATF1,ABCC4
ATF1,GCAT
ATF1,C12orf76
ATF1,CCAR1
ATF1,IFT20
ATF1,POU3F1
ATF1,GPR180
ATF1,STYXL1
ATF1,CD274
ATF1,NCBP2
ATF1,VRK1
ATF1,SMIM14
ATF1,PHF20
ATF1,RCAN3
ATF1,SIN3A
ATF1,SLC4A8
ATF1,HDDC2
ATF1,BCLAF1
ATF1,RPS6KA3
ATF1,PABPC1
ATF1,PRNP
ATF1,FDXR
ATF1,PREPL
ATF1,DCUN1D5
ATF1,CD151
ATF1,PPP1R11
ATF1,FAM122B
ATF1,DCAF10
ATF1,RSL1D1
ATF1,NGDN
ATF1,ARL3
ATF1,EIF2S1
ATF1,BLOC1S4
ATF1,METRNL
ATF1,PAXIP1
ATF1,FAM220A
ATF1,MBTD1
ATF1,FAM20B
ATF1,TRMT12
ATF1,RNF44
ATF1,ANAPC10
ATF1,GTF2H1
ATF1,NDUFA10
ATF1,HIST1H4E
ATF1,ELAVL1
ATF1,UBC
ATF1,RAD51C
ATF1,LMCD1
ATF1,ACY3
ATF1,MOAP1
ATF1,TRNT1
ATF1,LUZP1
ATF1,TLE3
ATF1,PARD6A
ATF1,CENPN
ATF1,CDCA5
ATF1,ITPRIP
ATF1,MED24
ATF1,ILF3
ATF1,UBA6
ATF1,REL
ATF1,NAT10
ATF1,ZC3H18
ATF1,PPA1
ATF1,ATP1B3
ATF1,CLIP4
ATF1,GPALPP1
ATF1,NKRF
ATF1,GNL2
ATF1,TESK1
ATF1,TRAF1
ATF1,ANKH
ATF1,HNRNPH1
ATF1,NCAPH2
ATF1,HIP1R
ATF1,CDK4
ATF1,RMND1
ATF1,VDR
ATF1,MAT2A
ATF1,EIF5AL1
ATF1,USB1
ATF1,PDCD11
ATF1,ELOF1
ATF1,MBD6
ATF1,AAMP
ATF1,ELP4
ATF1,MKRN2
ATF1,SNAPC5
ATF1,SAT1
ATF1,AP4M1
ATF1,TNFSF13B
ATF1,TNFAIP1
ATF1,CTNND1
ATF1,MYO6
ATF1,DGAT2
ATF1,LCLAT1
ATF1,LRRC37B
ATF1,BRF1
ATF1,KLHL42
ATF1,EDRF1
ATF1,ACTA2
ATF1,TCP11L1
ATF1,CHEK1
ATF1,UTP3
ATF1,KPNA2
ATF1,SCML1
ATF1,BCL11A
ATF1,HSP90AB1
ATF1,CCDC124
ATF1,TNFRSF1B
ATF1,TXNL1
ATF1,COPS8
ATF1,CHMP1B
ATF1,NUMA1
ATF1,ASB16-AS1
ATF1,CLTB
ATF1,CCSER2
ATF1,COLGALT1
ATF1,IQSEC1
ATF1,NETO2
ATF1,SLC16A1
ATF1,HMGCR
ATF1,PHF5A
ATF1,VDAC1
ATF1,VPS13A
ATF1,DBNL
ATF1,TMEM33
ATF1,ZFR
ATF1,HLX
ATF1,IL6
ATF1,HSPA14
ATF1,MAFB
ATF1,TTF2
ATF1,POLH
ATF1,SEPT7
ATF1,RPS27A
ATF1,PFDN2
ATF1,TMEM237
ATF1,RFX7
ATF1,ZNF644
ATF1,SETD4
ATF1,EFCAB2
ATF1,ANXA7
ATF1,BNIP2
ATF1,SLC36A4
ATF1,TSC1
ATF1,SPDL1
