"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"107"	"SYNGR2"	3.924	"LZ"	"201079_at"
"108"	"PTPN6"	3.918	"LZ"	"206687_s_at"
"109"	"HIVEP3"	3.9	"LZ"	"235122_at"
"110"	"GALNT6"	3.861	"LZ"	"228303_at"
"111"	"RAB3GAP2"	3.861	"LZ"	"243851_at"
"112"	"BATF3"	3.86	"LZ"	"220358_at"
"113"	"PAK1IP1"	3.85	"LZ"	"218886_at"
"114"	"PAK1IP1"	3.85	"LZ"	"218886_at"
"115"	"FCRL5"	3.832	"LZ"	"231647_s_at"
"116"	"WDR4"	3.832	"LZ"	"241937_s_at"
"117"	"LY75"	3.83	"LZ"	"205668_at"
"118"	"MTHFD1L"	3.814	"LZ"	"225520_at"
"119"	"NFKB1"	3.806	"LZ"	"209239_at"
"120"	"DUSP4"	3.752	"LZ"	"204014_at"
"121"	"NFKB2"	3.752	"LZ"	"207535_s_at"
"122"	"MAN2A2"	3.719	"LZ"	"202032_s_at"
"123"	"CAMTA1"	3.718	"LZ"	"1555370_a_at"
"124"	"FCRL5"	3.684	"LZ"	"224404_s_at"
"125"	"AC009879.2"	3.675	"LZ"	"209567_at"
"126"	"RRS1"	3.675	"LZ"	"209567_at"
"127"	"MACC1"	3.663	"LZ"	"232151_at"
"128"	"KYNU"	3.653	"LZ"	"210663_s_at"
"129"	"IPO4"	3.651	"LZ"	"218305_at"
"130"	"AL136295.4"	3.651	"LZ"	"218305_at"
"131"	"IPO4"	3.651	"LZ"	"218305_at"
"132"	"AL136295.12"	3.651	"LZ"	"218305_at"
"133"	"IQSEC1"	3.627	"LZ"	"203907_s_at"
"134"	"MPEG1"	3.599	"LZ"	"226818_at"
"135"	"LMO2"	3.595	"LZ"	"204249_s_at"
"136"	"TM2D3"	3.583	"LZ"	"221702_s_at"
"137"	"NEIL2"	3.576	"LZ"	"226585_at"
"138"	"NOP16"	3.568	"LZ"	"214011_s_at"
"139"	"CIITA"	3.551	"LZ"	"205101_at"
"140"	"FCRL5"	3.521	"LZ"	"224406_s_at"
"141"	"SAMSN1"	3.511	"LZ"	"220330_s_at"
"142"	"PLAGL1"	3.46	"LZ"	"209318_x_at"
"143"	"SNX9"	3.455	"LZ"	"223028_s_at"
"144"	"HOPX"	3.45	"LZ"	"211597_s_at"
"145"	"SLC2A3"	3.448	"LZ"	"202499_s_at"
"146"	"---"	3.425	"LZ"	"241878_at"
"147"	"RHOBTB3"	3.42	"LZ"	"202976_s_at"
"148"	"HLA-F"	3.417	"LZ"	"204806_x_at"
"149"	"HLA-F"	3.417	"LZ"	"204806_x_at"
