"final_gene_name"	"Z-score"	"Enriched in"	"affy_hg_u133_plus_2"
"454"	"TPX2"	-7.065	"DZ"	"210052_s_at"
"455"	"ASPM"	-6.978	"DZ"	"232238_at"
"456"	"EZR"	-6.955	"DZ"	"208621_s_at"
"457"	"DLGAP5"	-6.952	"DZ"	"203764_at"
"458"	"TOP2A"	-6.904	"DZ"	"201292_at"
"459"	"HMGB3"	-6.884	"DZ"	"225601_at"
"460"	"SMARCA4"	-6.867	"DZ"	"213720_s_at"
"461"	"PLK4"	-6.822	"DZ"	"204887_s_at"
"462"	"GPSM2"	-6.795	"DZ"	"221922_at"
"463"	"ECT2"	-6.702	"DZ"	"219787_s_at"
"464"	"STMN1"	-6.653	"DZ"	"200783_s_at"
"465"	"EZR"	-6.604	"DZ"	"208622_s_at"
"466"	"CDK1"	-6.492	"DZ"	"210559_s_at"
"467"	"H2AFV"	-6.419	"DZ"	"212206_s_at"
"468"	"KIF14"	-6.361	"DZ"	"236641_at"
"469"	"TMPO-AS1"	-6.345	"DZ"	"227578_at"
"470"	"TRMU"	-6.334	"DZ"	"211040_x_at"
"471"	"GTSE1"	-6.334	"DZ"	"211040_x_at"
"472"	"TUBB4B"	-6.308	"DZ"	"213726_x_at"
"473"	"PBK"	-6.301	"DZ"	"219148_at"
"474"	"TMSB15A"	-6.203	"DZ"	"205347_s_at"
"475"	"NEK2"	-6.187	"DZ"	"204641_at"
"476"	"AURKB"	-6.168	"DZ"	"209464_at"
"477"	"MDM2"	-6.14	"DZ"	"225160_x_at"
"478"	"PSIP1"	-6.083	"DZ"	"205961_s_at"
"479"	"AICDA"	-6.079	"DZ"	"224499_s_at"
"480"	"MELK"	-6.076	"DZ"	"204825_at"
"481"	"NUCKS1"	-6.031	"DZ"	"222424_s_at"
"482"	"GPSM2"	-6.021	"DZ"	"205240_at"
"483"	"CLIC4"	-6.014	"DZ"	"201560_at"
"484"	"KIF22"	-6.002	"DZ"	"202183_s_at"
"485"	"BACH2"	-5.996	"DZ"	"227173_s_at"
"486"	"KANK2"	-5.982	"DZ"	"218418_s_at"
"487"	"ANLN"	-5.941	"DZ"	"1552619_a_at"
"488"	"RPS27L"	-5.907	"DZ"	"218007_s_at"
"489"	"H2AFV"	-5.905	"DZ"	"227085_at"
"490"	"POLH"	-5.885	"DZ"	"233852_at"
"491"	"TRMU"	-5.872	"DZ"	"204318_s_at"
"492"	"GTSE1"	-5.872	"DZ"	"204318_s_at"
"493"	"KIF2C"	-5.867	"DZ"	"209408_at"
"494"	"DEPDC1"	-5.842	"DZ"	"235545_at"
"495"	"HRK"	-5.829	"DZ"	"229552_at"
"496"	"DPY19L2P2"	-5.752	"DZ"	"215143_at"
"497"	"KMT2A"	-5.749	"DZ"	"226981_at"
"498"	"NDC80"	-5.701	"DZ"	"204162_at"
"499"	"MME"	-5.685	"DZ"	"203435_s_at"
"500"	"CDK13"	-5.658	"DZ"	"207318_s_at"
"501"	"KIF2C"	-5.658	"DZ"	"211519_s_at"
"502"	"KIF14"	-5.654	"DZ"	"206364_at"
"503"	"CDCA3"	-5.654	"DZ"	"223307_at"
"504"	"TMPO"	-5.627	"DZ"	"203432_at"
"505"	"BACH2"	-5.622	"DZ"	"221234_s_at"
"506"	"JPT1"	-5.593	"DZ"	"217755_at"
"507"	"SPAG5"	-5.535	"DZ"	"203145_at"
"508"	"AICDA"	-5.51	"DZ"	"219841_at"
"509"	"CXCR4"	-5.469	"DZ"	"209201_x_at"
"510"	"TTK"	-5.462	"DZ"	"204822_at"
"511"	"PAPSS1"	-5.401	"DZ"	"209043_at"
"512"	"AC087721.2"	-5.387	"DZ"	"219978_s_at"
"513"	"NUSAP1"	-5.387	"DZ"	"219978_s_at"
"514"	"CKS1BP2"	-5.373	"DZ"	"201897_s_at"
"515"	"CKS1BP3"	-5.373	"DZ"	"201897_s_at"
"516"	"CKS1B"	-5.373	"DZ"	"201897_s_at"
"517"	"ACKR4"	-5.365	"DZ"	"220351_at"
"518"	"ACKR4P1"	-5.365	"DZ"	"220351_at"
"519"	"CDT1"	-5.362	"DZ"	"209832_s_at"
"520"	"ANKRD36BP2"	-5.355	"DZ"	"1556183_at"
"521"	"ANKRD36"	-5.355	"DZ"	"1556183_at"
"522"	"ANKRD36B"	-5.355	"DZ"	"1556183_at"
"523"	"HAUS8"	-5.347	"DZ"	"226308_at"
"524"	"FBXO43"	-5.301	"DZ"	"236852_at"
"525"	"TYMS"	-5.296	"DZ"	"1554696_s_at"
"526"	"AC026951.1"	-5.291	"DZ"	"232278_s_at"
"527"	"DEPDC1"	-5.291	"DZ"	"232278_s_at"
"528"	"DEPDC1"	-5.259	"DZ"	"220295_x_at"
"529"	"KMT2A"	-5.211	"DZ"	"244110_at"
"530"	"AP001267.5"	-5.211	"DZ"	"244110_at"
"531"	"PTTG1"	-5.195	"DZ"	"203554_x_at"
"532"	"GIHCG"	-5.148	"DZ"	"226546_at"
"533"	"GIHCG"	-5.148	"DZ"	"226546_at"
"534"	"CXCR4"	-5.056	"DZ"	"211919_s_at"
"535"	"CKAP2"	-5.05	"DZ"	"218252_at"
"536"	"H2AFV"	-5.041	"DZ"	"212205_at"
"537"	"KNL1"	-5.011	"DZ"	"228323_at"
"538"	"NCAPG"	-4.996	"DZ"	"218663_at"
"539"	"C4orf3"	-4.945	"DZ"	"224604_at"
"540"	"REXO5"	-4.92	"DZ"	"208107_s_at"
"541"	"CCNF"	-4.903	"DZ"	"204826_at"
"542"	"ANKRD36BP2"	-4.889	"DZ"	"1569040_s_at"
"543"	"ESPL1"	-4.887	"DZ"	"204817_at"
"544"	"CENPF"	-4.869	"DZ"	"209172_s_at"
"545"	"TROAP"	-4.859	"DZ"	"1568596_a_at"
"546"	"PGBD5"	-4.857	"DZ"	"219225_at"
"547"	"ESPL1"	-4.851	"DZ"	"38158_at"
"548"	"TUBB2A"	-4.829	"DZ"	"202154_x_at"
"549"	"TUBB2B"	-4.829	"DZ"	"202154_x_at"
"550"	"AC092143.1"	-4.829	"DZ"	"202154_x_at"
"551"	"TUBB3"	-4.829	"DZ"	"202154_x_at"
"552"	"BRD8"	-4.829	"DZ"	"202227_s_at"
"553"	"BIRC5"	-4.781	"DZ"	"202094_at"
"554"	"CXCR4"	-4.769	"DZ"	"217028_at"
"555"	"ATP6V1G3"	-4.765	"DZ"	"230565_at"
"556"	"ATP6V1G3"	-4.765	"DZ"	"230565_at"
"557"	"CENPA"	-4.731	"DZ"	"210821_x_at"
"558"	"SPA17"	-4.685	"DZ"	"205406_s_at"
"559"	"KIF11"	-4.682	"DZ"	"204444_at"
"560"	"SUGCT"	-4.679	"DZ"	"219655_at"
"561"	"TROAP"	-4.673	"DZ"	"204649_at"
"562"	"PEG10"	-4.651	"DZ"	"212094_at"
"563"	"CDC25B"	-4.65	"DZ"	"201853_s_at"
"564"	"AURKA"	-4.643	"DZ"	"204092_s_at"
"565"	"TUBB4B"	-4.63	"DZ"	"208977_x_at"
"566"	"BACH2"	-4.587	"DZ"	"236796_at"
"567"	"ATAD2"	-4.566	"DZ"	"218782_s_at"
"568"	"CDCA2"	-4.563	"DZ"	"226661_at"
"569"	"TACC3"	-4.553	"DZ"	"218308_at"
"570"	"CDC25C"	-4.545	"DZ"	"205167_s_at"
"571"	"KIF23"	-4.529	"DZ"	"204709_s_at"
"572"	"EIF2AK3-DT"	-4.487	"DZ"	"236990_at"
"573"	"OAS1"	-4.484	"DZ"	"202869_at"
"574"	"---"	-4.481	"DZ"	"242681_at"
"575"	"GCSAM"	-4.476	"DZ"	"235310_at"
"576"	"GCSAM"	-4.476	"DZ"	"235310_at"
"577"	"KIF4A"	-4.467	"DZ"	"218355_at"
"578"	"KIF18B"	-4.454	"DZ"	"222039_at"
"579"	"KMT2A"	-4.425	"DZ"	"212080_at"
"580"	"GPSM2"	-4.413	"DZ"	"230002_at"
"581"	"RABGAP1"	-4.391	"DZ"	"204028_s_at"
"582"	"PLK4"	-4.375	"DZ"	"204886_at"
"583"	"KIF20A"	-4.372	"DZ"	"218755_at"
"584"	"WASF3"	-4.362	"DZ"	"204042_at"
"585"	"GAS2L3"	-4.29	"DZ"	"238756_at"
"586"	"CD27"	-4.27	"DZ"	"206150_at"
"587"	"TAPBPL"	-4.27	"DZ"	"206150_at"
"588"	"MKI67"	-4.269	"DZ"	"212020_s_at"
"589"	"SNTA1"	-4.26	"DZ"	"203516_at"
"590"	"MKI67"	-4.248	"DZ"	"212023_s_at"
"591"	"MME"	-4.195	"DZ"	"203434_s_at"
"592"	"TUBB4A"	-4.179	"DZ"	"213476_x_at"
"593"	"TUBB2A"	-4.179	"DZ"	"213476_x_at"
"594"	"TUBB2B"	-4.179	"DZ"	"213476_x_at"
"595"	"AC092143.1"	-4.179	"DZ"	"213476_x_at"
"596"	"TUBB3"	-4.179	"DZ"	"213476_x_at"
"597"	"DCK"	-4.178	"DZ"	"203302_at"
"598"	"FOXO1"	-4.169	"DZ"	"202724_s_at"
"599"	"SPDL1"	-4.159	"DZ"	"221685_s_at"
"600"	"BCRP2"	-4.147	"DZ"	"226602_s_at"
"601"	"AP000356.3"	-4.147	"DZ"	"226602_s_at"
"602"	"BCR"	-4.147	"DZ"	"226602_s_at"
"603"	"TCF3"	-4.131	"DZ"	"209152_s_at"
"604"	"CCDC110"	-4.105	"DZ"	"230900_at"
"605"	"SMC4"	-4.104	"DZ"	"201663_s_at"
"606"	"PEX5"	-4.07	"DZ"	"203244_at"
"607"	"PEX5"	-4.07	"DZ"	"203244_at"
"608"	"MFHAS1"	-4.062	"DZ"	"225478_at"
"609"	"BUB1B"	-4.026	"DZ"	"203755_at"
"610"	"BIRC5"	-4.019	"DZ"	"210334_x_at"
"611"	"PIF1"	-4.014	"DZ"	"228252_at"
"612"	"TK1"	-4.012	"DZ"	"1554408_a_at"
"613"	"DNMT3B"	-3.972	"DZ"	"220668_s_at"
"614"	"FANCI"	-3.957	"DZ"	"213007_at"
"615"	"ARHGEF39"	-3.949	"DZ"	"230521_at"
"616"	"CCNA2"	-3.941	"DZ"	"203418_at"
"617"	"LSM10"	-3.925	"DZ"	"225593_at"
"618"	"TPD52"	-3.866	"DZ"	"201689_s_at"
"619"	"CDK19"	-3.85	"DZ"	"212899_at"
"620"	"AC022167.3"	-3.81	"DZ"	"236260_at"
"621"	"PPP2R5C"	-3.809	"DZ"	"201877_s_at"
"622"	"CDK1"	-3.805	"DZ"	"203213_at"
"623"	"TRIM59"	-3.8	"DZ"	"227801_at"
"624"	"FBLN5"	-3.779	"DZ"	"203088_at"
"625"	"DEPDC1B"	-3.75	"DZ"	"226980_at"
"626"	"DNASE1"	-3.744	"DZ"	"228929_at"
"627"	"OIP5"	-3.742	"DZ"	"213599_at"
"628"	"SKA2"	-3.74	"DZ"	"225684_at"
"629"	"CARHSP1"	-3.734	"DZ"	"218384_at"
"630"	"---"	-3.732	"DZ"	"1556451_at"
"631"	"SPIN4"	-3.706	"DZ"	"228654_at"
"632"	"AC016727.1"	-3.69	"DZ"	"230729_at"
"633"	"STK40"	-3.682	"DZ"	"223852_s_at"
"634"	"MDM2"	-3.654	"DZ"	"229711_s_at"
"635"	"ATP8B3"	-3.652	"DZ"	"1554704_at"
"636"	"RABGAP1"	-3.634	"DZ"	"213313_at"
"637"	"APOLD1"	-3.621	"DZ"	"221031_s_at"
"638"	"ARHGAP19"	-3.59	"DZ"	"212738_at"
"639"	"NCAPD2"	-3.586	"DZ"	"201774_s_at"
"640"	"SSBP2"	-3.581	"DZ"	"203787_at"
"641"	"PXMP2"	-3.581	"DZ"	"219076_s_at"
"642"	"AC135586.2"	-3.581	"DZ"	"219076_s_at"
"643"	"SLCO3A1"	-3.58	"DZ"	"227367_at"
"644"	"EZR"	-3.578	"DZ"	"217234_s_at"
"645"	"SEC14L1"	-3.571	"DZ"	"202084_s_at"
"646"	"RRM2B"	-3.569	"DZ"	"223342_at"
"647"	"ARHGAP19"	-3.546	"DZ"	"37577_at"
"648"	"S100Z"	-3.541	"DZ"	"1554876_a_at"
"649"	"H2AFX"	-3.537	"DZ"	"205436_s_at"
"650"	"BLOC1S6"	-3.497	"DZ"	"222826_at"
"651"	"RGCC"	-3.487	"DZ"	"218723_s_at"
"652"	"FAM241A"	-3.465	"DZ"	"227856_at"
"653"	"FAM72B"	-3.437	"DZ"	"225834_at"
"654"	"FAM72A"	-3.437	"DZ"	"225834_at"
"655"	"FAM72C"	-3.437	"DZ"	"225834_at"
"656"	"FAM72D"	-3.437	"DZ"	"225834_at"
"657"	"SSBP2"	-3.417	"DZ"	"210829_s_at"
"658"	"RBFOX2"	-3.379	"DZ"	"212104_s_at"
"659"	"RBFOX2"	-3.379	"DZ"	"212104_s_at"
"660"	"SLC30A4"	-3.371	"DZ"	"207362_at"
"661"	"RAPGEF2"	-3.361	"DZ"	"203097_s_at"
"662"	"STK38"	-3.35	"DZ"	"202951_at"
"663"	"HMGB3"	-3.316	"DZ"	"203744_at"
"664"	"POU4F1"	-3.299	"DZ"	"211341_at"
"665"	"AL359711.2"	-3.291	"DZ"	"1556676_a_at"
"666"	"CCND3"	-3.289	"DZ"	"201700_at"
"667"	"---"	-3.286	"DZ"	"1561195_at"
"668"	"ISG20"	-3.28	"DZ"	"204698_at"
"669"	"PRDM15"	-3.265	"DZ"	"230777_s_at"
"670"	"---"	-3.24	"DZ"	"1564154_at"
"671"	"SLC30A4"	-3.221	"DZ"	"227193_at"
"672"	"TCL6"	-3.208	"DZ"	"219840_s_at"
"673"	"WDR66"	-3.207	"DZ"	"1555007_s_at"
"674"	"SUSD3"	-3.188	"DZ"	"227182_at"
"675"	"HRK"	-3.171	"DZ"	"237187_at"
"676"	"SEC14L1"	-3.162	"DZ"	"202082_s_at"
"677"	"SMAD1"	-3.141	"DZ"	"227798_at"
"678"	"---"	-3.139	"DZ"	"1556332_at"
"679"	"PRKAR2B"	-3.132	"DZ"	"203680_at"
"680"	"PRKAR2B"	-3.132	"DZ"	"203680_at"
"681"	"POU2AF1"	-3.12	"DZ"	"1569675_at"
"682"	"CDKN2C"	-3.112	"DZ"	"204159_at"
"683"	"PTP4A2"	-3.112	"DZ"	"208617_s_at"
"684"	"SLC2A5"	-3.104	"DZ"	"204430_s_at"
"685"	"SLCO3A1"	-3.09	"DZ"	"219229_at"
"686"	"SYBU"	-3.041	"DZ"	"218692_at"
"687"	"UBR5-AS1"	-2.983	"DZ"	"1555888_at"
"688"	"RAD17"	-2.977	"DZ"	"207405_s_at"
"689"	"RAD17"	-2.977	"DZ"	"207405_s_at"
"690"	"BLOC1S6"	-2.972	"DZ"	"224883_at"
"691"	"H1FX"	-2.963	"DZ"	"204805_s_at"
"692"	"SGPP1"	-2.959	"DZ"	"221268_s_at"
"693"	"SGPP1"	-2.959	"DZ"	"221268_s_at"
"694"	"---"	-2.951	"DZ"	"236307_at"
"695"	"TCL6"	-2.933	"DZ"	"239964_at"
"696"	"AL133467.6"	-2.933	"DZ"	"239964_at"
"697"	"TJP2"	-2.913	"DZ"	"202085_at"
"698"	"AL358113.1"	-2.913	"DZ"	"202085_at"
"699"	"---"	-2.907	"DZ"	"215907_at"
"700"	"KIFC1"	-2.902	"DZ"	"209680_s_at"
"701"	"KIFC1"	-2.902	"DZ"	"209680_s_at"
"702"	"KIFC1"	-2.902	"DZ"	"209680_s_at"
"703"	"SMAD1"	-2.893	"DZ"	"210993_s_at"
"704"	"CEP70"	-2.889	"DZ"	"224150_s_at"
"705"	"DEPTOR"	-2.885	"DZ"	"218858_at"
"706"	"CDKN2D"	-2.868	"DZ"	"210240_s_at"
"707"	"ISG20"	-2.862	"DZ"	"33304_at"
"708"	"PTTG3P"	-2.857	"DZ"	"208511_at"
"709"	"OAS1"	-2.836	"DZ"	"205552_s_at"
"710"	"RNFT2"	-2.82	"DZ"	"221909_at"
"711"	"SAC3D1"	-2.798	"DZ"	"205449_at"
"712"	"RUBCNL"	-2.795	"DZ"	"219471_at"
"713"	"ST14"	-2.782	"DZ"	"202005_at"
"714"	"PEG10"	-2.777	"DZ"	"212092_at"
"715"	"MKI67"	-2.765	"DZ"	"212022_s_at"
"716"	"ABCA1"	-2.743	"DZ"	"203505_at"
"717"	"ABCA1"	-2.739	"DZ"	"203504_s_at"
"718"	"HES6"	-2.73	"DZ"	"226446_at"
"719"	"CYTH3"	-2.721	"DZ"	"225147_at"
"720"	"SGCE"	-2.714	"DZ"	"204688_at"
"721"	"SEC14L1"	-2.706	"DZ"	"202083_s_at"
"722"	"IFT122"	-2.697	"DZ"	"220744_s_at"
"723"	"YPEL1"	-2.693	"DZ"	"228788_at"
"724"	"BCR"	-2.666	"DZ"	"202315_s_at"
"725"	"NDC1"	-2.658	"DZ"	"234672_s_at"
"726"	"TCL6"	-2.648	"DZ"	"221624_at"
"727"	"KIAA1211"	-2.627	"DZ"	"227230_s_at"
"728"	"RNF19B"	-2.548	"DZ"	"36564_at"
"729"	"MKI67"	-2.527	"DZ"	"212021_s_at"
"730"	"ASPM"	-2.523	"DZ"	"239002_at"
"731"	"OSBPL10"	-2.514	"DZ"	"219073_s_at"
"732"	"RNF19B"	-2.512	"DZ"	"213038_at"
"733"	"PRR15"	-2.502	"DZ"	"226961_at"
"734"	"POLH"	-2.488	"DZ"	"1557701_s_at"
"735"	"RUBCNL"	-2.481	"DZ"	"44790_s_at"
"736"	"APBB2"	-2.48	"DZ"	"212985_at"
"737"	"CDC25C"	-2.48	"DZ"	"217010_s_at"
"738"	"POU4F1"	-2.465	"DZ"	"206940_s_at"
"739"	"GAS2L3"	-2.462	"DZ"	"235709_at"
"740"	"AMN"	-2.434	"DZ"	"1563792_at"
"741"	"AL117209.1"	-2.434	"DZ"	"1563792_at"
"742"	"---"	-2.429	"DZ"	"1559210_at"
"743"	"APOBEC3A"	-2.427	"DZ"	"206632_s_at"
"744"	"APOBEC3A"	-2.427	"DZ"	"206632_s_at"
"745"	"APOBEC3B"	-2.427	"DZ"	"206632_s_at"
"746"	"TMX4"	-2.424	"DZ"	"201581_at"
"747"	"FOXP1"	-2.417	"DZ"	"238712_at"
"748"	"HRK"	-2.408	"DZ"	"206864_s_at"
"749"	"WNK2"	-2.401	"DZ"	"227217_at"
"750"	"BCRP2"	-2.399	"DZ"	"217223_s_at"
"751"	"BCRP6"	-2.399	"DZ"	"217223_s_at"
"752"	"AP000356.3"	-2.399	"DZ"	"217223_s_at"
"753"	"BCRP3"	-2.399	"DZ"	"217223_s_at"
"754"	"BCR"	-2.399	"DZ"	"217223_s_at"
"755"	"BCRP7"	-2.399	"DZ"	"217223_s_at"
"756"	"INCENP"	-2.399	"DZ"	"242787_at"
"757"	"SCRN1"	-2.394	"DZ"	"201462_at"
"758"	"ZNF385B"	-2.38	"DZ"	"1555801_s_at"
"759"	"ALDH7A1P1"	-2.373	"DZ"	"208951_at"
"760"	"ALDH7A1"	-2.373	"DZ"	"208951_at"
"761"	"FAM107B"	-2.345	"DZ"	"223058_at"
"762"	"RNF144B"	-2.326	"DZ"	"228153_at"
"763"	"---"	-2.308	"DZ"	"231456_at"
"764"	"TNFSF8"	-2.287	"DZ"	"235735_at"
"765"	"DSTN"	-2.279	"DZ"	"201022_s_at"
"766"	"ALDH7A1P1"	-2.251	"DZ"	"208950_s_at"
"767"	"ALDH7A1"	-2.251	"DZ"	"208950_s_at"
"768"	"HIST1H2AG"	-2.238	"DZ"	"207156_at"
"769"	"CHD7"	-2.234	"DZ"	"222755_s_at"
"770"	"APBB2"	-2.212	"DZ"	"213419_at"
"771"	"RNF144B"	-2.203	"DZ"	"239704_at"
"772"	"ARHGEF39"	-2.191	"DZ"	"230522_s_at"
"773"	"ZNF101"	-2.173	"DZ"	"239231_at"
"774"	"DSTN"	-2.152	"DZ"	"201021_s_at"
"775"	"ALOX5"	-2.134	"DZ"	"204446_s_at"
"776"	"ALOX5"	-2.134	"DZ"	"204446_s_at"
"777"	"BLOC1S6"	-2.101	"DZ"	"224892_at"
"778"	"TP53INP1"	-2.084	"DZ"	"225912_at"
"779"	"LPP"	-2.063	"DZ"	"202822_at"
"780"	"UBE2J1"	-1.995	"DZ"	"217825_s_at"
"781"	"---"	-1.973	"DZ"	"232286_at"
"782"	"UBE2J1"	-1.945	"DZ"	"222435_s_at"
