gene_name	set
LHFPL6	CD40L_up_only
MAATS1	CD40L_up_only
MED12	CD40L_up_only
NUTM2A	CD40L_up_only
RAD51D	CD40L_up_only
SPATA12	CD40L_up_only
PPARA	CD40L_up_only
TSPYL4	CD40L_up_only
TCTEX1D4	CD40L_up_only
HBA2	CD40L_up_only
CFAP54	CD40L_up_only
BNIP5	CD40L_up_only
TDRD7	CD40L_up_only
OR8A1	CD40L_up_only
SEMA4A	CD40L_up_only
LCOR	CD40L_up_only
ZNF140	CD40L_up_only
MRTFA	CD40L_up_only
OR2T4	CD40L_up_only
FBXL22	CD40L_up_only
TXNRD3	CD40L_up_only
ADAMTSL2	CD40L_up_only
ZNF71	CD40L_up_only
HYLS1	CD40L_up_only
ZXDB	CD40L_up_only
SMURF1	CD40L_up_only
L1CAM	CD40L_up_only
RNU5F-1	CD40L_up_only
RNU1-87P	CD40L_up_only
RNY1P11	CD40L_up_only
RNU6-302P	CD40L_up_only
SNHG5	CD40L_up_only
SYS1	CD40L_up_only
HLA-G	CD40L_up_only
INSYN2B	CD40L_up_only
TCTN1	CD40L_up_only
ACOT6	CD40L_up_only
HACD2	CD40L_up_only
MIR181B2	CD40L_up_only
IGKC	CD40L_up_only
IGKV4-1	CD40L_up_only
IGLV1-51	CD40L_up_only
IGLV1-47	CD40L_up_only
IGLV7-46	CD40L_up_only
IGLV1-44	CD40L_up_only
IGLV1-40	CD40L_up_only
IGLV3-25	CD40L_up_only
IGLV2-23	CD40L_up_only
IGLV3-19	CD40L_up_only
IGLV3-1	CD40L_up_only
IGLJ1	CD40L_up_only
IGLC3	CD40L_up_only
IGHE	CD40L_up_only
PDCL3P5	CD40L_up_only
SUPT4H1	CD40L_up_only
RPL7AP50	CD40L_up_only
GNL3LP1	CD40L_up_only
RAET1K	CD40L_up_only
ZGLP1	CD40L_up_only
LINC01465	CD40L_up_only
PGAM1P6	CD40L_up_only
TNPO1P1	CD40L_up_only
NUTM2B-AS1	CD40L_up_only
KCNMA1-AS3	CD40L_up_only
MROCKI	CD40L_up_only
EEF1A1P11	CD40L_up_only
ARL17B	CD40L_up_only
LINC02768	CD40L_up_only
LINC01362	CD40L_up_only
HNRNPA1P68	CD40L_up_only
LINC01712	CD40L_up_only
PRDX3P2	CD40L_up_only
TRAF3IP2-AS1	CD40L_up_only
C4BPAP2	CD40L_up_only
ATP11A-AS1	CD40L_up_only
TNF	CD40L_up_only
HNRNPA1P49	CD40L_up_only
MAP3K5-AS1	CD40L_up_only
USP27X-AS1	CD40L_up_only
ERICH3-AS1	CD40L_up_only
SETP9	CD40L_up_only
C12orf75	CD40L_up_only
LINC01055	CD40L_up_only
ASH1L-AS1	CD40L_up_only
CHCHD4P3	CD40L_up_only
TMSB4XP1	CD40L_up_only
NONOP2	CD40L_up_only
ZEB2-AS1	CD40L_up_only
RNU7-45P	CD40L_up_only
IGKV1-17	CD40L_up_only
RPS6P25	CD40L_up_only
RN7SL328P	CD40L_up_only
RPL36A	CD40L_up_only
IGKV1-33	CD40L_up_only
LINC00971	CD40L_up_only
RPSAP26	CD40L_up_only
APOBEC3C	CD40L_up_only
LINC02709	CD40L_up_only
FRG1-DT	CD40L_up_only
LRP4-AS1	CD40L_up_only
LINC01596	CD40L_up_only
CTBP2P4	CD40L_up_only
LINC02615	CD40L_up_only
IGKV1D-39	CD40L_up_only
RNU6-367P	CD40L_up_only
IGLL5	CD40L_up_only
SYS1-DBNDD2	CD40L_up_only
LINC00273	CD40L_up_only
DENND11	CD40L_up_only
MGAM	CD40L_up_only
SPESP1	CD40L_up_only
LINC02316	CD40L_up_only
LINC02490	CD40L_up_only
SPDYE6	CD40L_up_only
FBXL19-AS1	CD40L_up_only
ADAMTS7P3	CD40L_up_only
LINC01686	CD40L_up_only
IKBKE	CD40L_up_only
DLGAP1-AS4	CD40L_up_only
MIR4298	CD40L_up_only
RN7SL405P	CD40L_up_only
MIR4540	CD40L_up_only
TSPOAP1-AS1	CD40L_up_only
MIR4476	CD40L_up_only
LINC02132	CD40L_up_only
SNORD11B	CD40L_up_only
LINC01215	CD40L_up_only
RNA5SP108	CD40L_up_only
RN7SL726P	CD40L_up_only
BMS1P14	CD40L_up_only
RN7SL575P	CD40L_up_only
ARRDC3-AS1	CD40L_up_only
PRR33	CD40L_up_only
TPTEP2-CSNK1E	CD40L_up_only
FUCA2	BCR_up_only
LASP1	BCR_up_only
MATK	BCR_up_only
RHBDF1	BCR_up_only
RHOBTB2	BCR_up_only
CD22	BCR_up_only
XYLT2	BCR_up_only
AKAP11	BCR_up_only
SH2D2A	BCR_up_only
POU2F2	BCR_up_only
ATP6V0A1	BCR_up_only
THAP3	BCR_up_only
TNFRSF17	BCR_up_only
USP13	BCR_up_only
ANKS1A	BCR_up_only
NTHL1	BCR_up_only
KDM4A	BCR_up_only
SYT1	BCR_up_only
GBA2	BCR_up_only
NDST1	BCR_up_only
LMCD1	BCR_up_only
PTPN18	BCR_up_only
CIC	BCR_up_only
TDRD3	BCR_up_only
NOA1	BCR_up_only
ZNF213	BCR_up_only
GNAS	BCR_up_only
ERP29	BCR_up_only
NAT14	BCR_up_only
WHRN	BCR_up_only
NEFH	BCR_up_only
KIAA0930	BCR_up_only
IL2RB	BCR_up_only
PYGB	BCR_up_only
ABHD12	BCR_up_only
CTSZ	BCR_up_only
UBL4A	BCR_up_only
ACP5	BCR_up_only
HCFC1R1	BCR_up_only
MPG	BCR_up_only
NME4	BCR_up_only
METRN	BCR_up_only
CLUAP1	BCR_up_only
HOMER2	BCR_up_only
CCDC61	BCR_up_only
DNASE2	BCR_up_only
USF2	BCR_up_only
FKBP8	BCR_up_only
ERF	BCR_up_only
PIK3CG	BCR_up_only
PLEKHA8	BCR_up_only
IMPDH1	BCR_up_only
RPA3	BCR_up_only
ALDOC	BCR_up_only
CCDC34	BCR_up_only
KRT18	BCR_up_only
ACAD10	BCR_up_only
OAS2	BCR_up_only
RASAL1	BCR_up_only
ENO2	BCR_up_only
PTPN6	BCR_up_only
MAN1A1	BCR_up_only
RNF130	BCR_up_only
DBN1	BCR_up_only
ACTR8	BCR_up_only
BCL6	BCR_up_only
RAP1A	BCR_up_only
CD48	BCR_up_only
ID3	BCR_up_only
LRMP	BCR_up_only
PHF19	BCR_up_only
KDSR	BCR_up_only
LGALSL	BCR_up_only
TRIM25	BCR_up_only
CRY2	BCR_up_only
SEPTIN7	BCR_up_only
AGO2	BCR_up_only
USP22	BCR_up_only
DEK	BCR_up_only
MBOAT7	BCR_up_only
AHDC1	BCR_up_only
RAC2	BCR_up_only
THEM6	BCR_up_only
ANGPTL6	BCR_up_only
NFATC1	BCR_up_only
KCNC3	BCR_up_only
MGAT1	BCR_up_only
NDFIP1	BCR_up_only
C19orf57	BCR_up_only
FCRLA	BCR_up_only
TBC1D14	BCR_up_only
PRMT7	BCR_up_only
HMGB1P5	BCR_up_only
CD180	BCR_up_only
GSTM1	BCR_up_only
TAOK3	BCR_up_only
SPRY2	BCR_up_only
TTYH3	BCR_up_only
SLC31A1	BCR_up_only
ATP6V1G1	BCR_up_only
HINT2	BCR_up_only
ZSCAN9	BCR_up_only
MYOF	BCR_up_only
SLC39A8	BCR_up_only
RAB20	BCR_up_only
ITGAX	BCR_up_only
ZCCHC14	BCR_up_only
RANBP10	BCR_up_only
EVI5L	BCR_up_only
SH3BGRL3	BCR_up_only
LMO4	BCR_up_only
CD53	BCR_up_only
FCRL5	BCR_up_only
OCIAD2	BCR_up_only
ANKRD31	BCR_up_only
FAM50B	BCR_up_only
DOK3	BCR_up_only
CRIP3	BCR_up_only
PLPP5	BCR_up_only
ADM	BCR_up_only
ENDOD1	BCR_up_only
SLX4IP	BCR_up_only
GRIK4	BCR_up_only
NUDT22	BCR_up_only
QDPR	BCR_up_only
RNF144A	BCR_up_only
RMND5A	BCR_up_only
ENAH	BCR_up_only
PIK3AP1	BCR_up_only
CCNB2	BCR_up_only
H2BC5	BCR_up_only
CD1C	BCR_up_only
SELENON	BCR_up_only
GFI1	BCR_up_only
H3-3A	BCR_up_only
KBTBD8	BCR_up_only
IFI16	BCR_up_only
MTMR14	BCR_up_only
FYCO1	BCR_up_only
TEX264	BCR_up_only
DUSP7	BCR_up_only
GFM2	BCR_up_only
PEX2	BCR_up_only
HECTD2	BCR_up_only
SKA3	BCR_up_only
ARF6	BCR_up_only
PIP4P1	BCR_up_only
TPP1	BCR_up_only
ANKRD11	BCR_up_only
KLK1	BCR_up_only
KLK4	BCR_up_only
VWCE	BCR_up_only
PNOC	BCR_up_only
BMI1	BCR_up_only
SLC33A1	BCR_up_only
TM2D2	BCR_up_only
IRF2BP1	BCR_up_only
RNF139	BCR_up_only
MFN1	BCR_up_only
TADA3	BCR_up_only
GAA	BCR_up_only
LDHAL6B	BCR_up_only
QARS1	BCR_up_only
CXCR6	BCR_up_only
CERS6	BCR_up_only
VEGFB	BCR_up_only
DDIT3	BCR_up_only
LONRF3	BCR_up_only
RPS6KB2	BCR_up_only
MTHFR	BCR_up_only
DEAF1	BCR_up_only
HASPIN	BCR_up_only
GBA	BCR_up_only
CD151	BCR_up_only
DMAP1	BCR_up_only
COX14	BCR_up_only
DPM3	BCR_up_only
MAGED1	BCR_up_only
SEPHS2	BCR_up_only
H2BC4	BCR_up_only
D2HGDH	BCR_up_only
IDH2	BCR_up_only
PAPPA	BCR_up_only
BEGAIN	BCR_up_only
ZNRF3	BCR_up_only
CLECL1	BCR_up_only
KNTC1	BCR_up_only
RNLS	BCR_up_only
BRI3BP	BCR_up_only
IFNLR1	BCR_up_only
ROR1	BCR_up_only
ARHGAP30	BCR_up_only
GCNT1	BCR_up_only
TRPV2	BCR_up_only
FOCAD	BCR_up_only
HMGB1	BCR_up_only
TECPR2	BCR_up_only
GM2A	BCR_up_only
SERTAD1	BCR_up_only
ZNF398	BCR_up_only
H4C11	BCR_up_only
SERPINA1	BCR_up_only
PELI1	BCR_up_only
MPEG1	BCR_up_only
CARD11	BCR_up_only
ZNF627	BCR_up_only
F5	BCR_up_only
BHLHB9	BCR_up_only
ARMCX6	BCR_up_only
RNU6-212P	BCR_up_only
RNU6-979P	BCR_up_only
MDP1	BCR_up_only
CPNE1	BCR_up_only
BCAR3-AS1	BCR_up_only
LINC01567	BCR_up_only
KCNQ5-AS1	BCR_up_only
KNOP1P4	BCR_up_only
GPX1	BCR_up_only
RNASEH1-AS1	BCR_up_only
NFS1	BCR_up_only
RN7SL211P	BCR_up_only
NEAT1	BCR_up_only
FAM86EP	BCR_up_only
MIR2116	BCR_up_only
SOX5-AS1	BCR_up_only
CENPUP2	BCR_up_only
NSFP1	BCR_up_only
DYNLL2	BCR_up_only
LINC01480	BCR_up_only
PHACTR2P1	BCR_up_only
H2AC14	BCR_up_only
GLIDR	BCR_up_only
DPM1	COSTIM_up
GCLC	COSTIM_up
NFYA	COSTIM_up
LAS1L	COSTIM_up
ENPP4	COSTIM_up
ANKIB1	COSTIM_up
CYP51A1	COSTIM_up
LAP3	COSTIM_up
MAD1L1	COSTIM_up
SNX11	COSTIM_up
M6PR	COSTIM_up
ALS2	COSTIM_up
CFLAR	COSTIM_up
ARF5	COSTIM_up
POLDIP2	COSTIM_up
AK2	COSTIM_up
FKBP4	COSTIM_up
KDM1A	COSTIM_up
RECQL	COSTIM_up
NDUFAB1	COSTIM_up
ARX	COSTIM_up
SLC25A13	COSTIM_up
ST7	COSTIM_up
HCCS	COSTIM_up
DVL2	COSTIM_up
UPF1	COSTIM_up
SLC25A5	COSTIM_up
POLR2J	COSTIM_up
DHX33	COSTIM_up
LIG3	COSTIM_up
RPAP3	COSTIM_up
CIAPIN1	COSTIM_up
GCFC2	COSTIM_up
IBTK	COSTIM_up
MYCBP2	COSTIM_up
LAMP2	COSTIM_up
REX1BD	COSTIM_up
CRLF1	COSTIM_up
AP2B1	COSTIM_up
ZNF263	COSTIM_up
RALA	COSTIM_up
BAIAP2L1	COSTIM_up
AGK	COSTIM_up
GGCT	COSTIM_up
DBF4	COSTIM_up
IFRD1	COSTIM_up
COX10	COSTIM_up
GTF2IRD1	COSTIM_up
PAF1	COSTIM_up
ELAC2	COSTIM_up
PNPLA4	COSTIM_up
ADIPOR2	COSTIM_up
PRSS21	COSTIM_up
CCDC124	COSTIM_up
PAFAH1B1	COSTIM_up
KIAA0100	COSTIM_up
NA	COSTIM_up
RPUSD1	COSTIM_up
TSR3	COSTIM_up
PIGQ	COSTIM_up
TEAD3	COSTIM_up
DNAJC11	COSTIM_up
PSMB1	COSTIM_up
JARID2	COSTIM_up
NADK	COSTIM_up
CYB561	COSTIM_up
SPAG9	COSTIM_up
CELSR3	COSTIM_up
SS18L2	COSTIM_up
MPND	COSTIM_up
CRY1	COSTIM_up
NFIX	COSTIM_up
IL32	COSTIM_up
PKD1	COSTIM_up
MED24	COSTIM_up
RPS20	COSTIM_up
CSDE1	COSTIM_up
UBE3C	COSTIM_up
VTA1	COSTIM_up
BAZ1B	COSTIM_up
RANBP9	COSTIM_up
SPRTN	COSTIM_up
EEF1AKNMT	COSTIM_up
ZNF207	COSTIM_up
UQCRC1	COSTIM_up
STARD3NL	COSTIM_up
SCMH1	COSTIM_up
ELOA	COSTIM_up
LYPLA2	COSTIM_up
CLCN6	COSTIM_up
MRC2	COSTIM_up
NME1-NME2	COSTIM_up
BTBD7	COSTIM_up
APBA3	COSTIM_up
ABHD5	COSTIM_up
UTP18	COSTIM_up
PTBP1	COSTIM_up
LARS2	COSTIM_up
WIZ	COSTIM_up
PPP5C	COSTIM_up
ZBTB32	COSTIM_up
ERCC1	COSTIM_up
MBTPS2	COSTIM_up
PRICKLE3	COSTIM_up
MAP4K5	COSTIM_up
PSMC4	COSTIM_up
SLC25A39	COSTIM_up
MVP	COSTIM_up
POLR3B	COSTIM_up
RNF14	COSTIM_up
DNASE1L1	COSTIM_up
DDX11	COSTIM_up
POLA2	COSTIM_up
ZC3H3	COSTIM_up
MDH1	COSTIM_up
SLC30A9	COSTIM_up
ZMYND11	COSTIM_up
BID	COSTIM_up
MATR3	COSTIM_up
NUDCD3	COSTIM_up
GLT8D1	COSTIM_up
ATP2C1	COSTIM_up
IGF1	COSTIM_up
SLC38A5	COSTIM_up
RALBP1	COSTIM_up
RUFY3	COSTIM_up
AGPS	COSTIM_up
CXorf56	COSTIM_up
TTC27	COSTIM_up
CD74	COSTIM_up
NCDN	COSTIM_up
ZFP64	COSTIM_up
MNAT1	COSTIM_up
RUNX3	COSTIM_up
AQR	COSTIM_up
RTF2	COSTIM_up
GABRA1	COSTIM_up
RNF10	COSTIM_up
RNH1	COSTIM_up
NDUFS1	COSTIM_up
ALAS1	COSTIM_up
BIRC3	COSTIM_up
GLRX2	COSTIM_up
SNAPC1	COSTIM_up
STRAP	COSTIM_up
GCLM	COSTIM_up
RRAGD	COSTIM_up
HSF2	COSTIM_up
PHF20	COSTIM_up
TYMP	COSTIM_up
NCAPH2	COSTIM_up
TOMM34	COSTIM_up
KPNA6	COSTIM_up
VIM	COSTIM_up
RTEL1-TNFRSF6B	COSTIM_up
FAS	COSTIM_up
CD44	COSTIM_up
SLAMF7	COSTIM_up
MIPEP	COSTIM_up
IFNGR1	COSTIM_up
B4GALT7	COSTIM_up
VRK2	COSTIM_up
TNFRSF1B	COSTIM_up
VEZT	COSTIM_up
BRD9	COSTIM_up
SNX1	COSTIM_up
ARNTL2	COSTIM_up
BCLAF1	COSTIM_up
SLC39A9	COSTIM_up
BAK1	COSTIM_up
GRN	COSTIM_up
ARHGAP31	COSTIM_up
SARS1	COSTIM_up
RANBP3	COSTIM_up
EIPR1	COSTIM_up
ALG1	COSTIM_up
ABCF2	COSTIM_up
CHPF2	COSTIM_up
UBA6	COSTIM_up
MAP2K3	COSTIM_up
GABARAPL2	COSTIM_up
FAM136A	COSTIM_up
NSMAF	COSTIM_up
RPL26L1	COSTIM_up
NSUN2	COSTIM_up
METTL1	COSTIM_up
PI4K2B	COSTIM_up
EDC4	COSTIM_up
TRIO	COSTIM_up
CLEC16A	COSTIM_up
MTREX	COSTIM_up
PHLPP2	COSTIM_up
SPDL1	COSTIM_up
CTNS	COSTIM_up
PHF23	COSTIM_up
INPP4A	COSTIM_up
PSMA4	COSTIM_up
LSG1	COSTIM_up
TDP1	COSTIM_up
AIFM2	COSTIM_up
AP2S1	COSTIM_up
ZPBP	COSTIM_up
DCUN1D1	COSTIM_up
JADE2	COSTIM_up
CUL7	COSTIM_up
HSPA5	COSTIM_up
GEMIN8	COSTIM_up
ATP6V1H	COSTIM_up
POLR2B	COSTIM_up
TPR	COSTIM_up
DTNBP1	COSTIM_up
MAP4	COSTIM_up
HDAC9	COSTIM_up
NOP16	COSTIM_up
ZNF800	COSTIM_up
MRPS10	COSTIM_up
CELF2	COSTIM_up
FAM120A	COSTIM_up
R3HDM1	COSTIM_up
ERCC8	COSTIM_up
PER3	COSTIM_up
TNFRSF9	COSTIM_up
RCN1	COSTIM_up
RFC2	COSTIM_up
CLPTM1L	COSTIM_up
NEDD4L	COSTIM_up
PTCD2	COSTIM_up
MCUR1	COSTIM_up
HERPUD1	COSTIM_up
HEBP2	COSTIM_up
MPHOSPH9	COSTIM_up
SIKE1	COSTIM_up
RRP12	COSTIM_up
MSMO1	COSTIM_up
MRTO4	COSTIM_up
USE1	COSTIM_up
TRAPPC3	COSTIM_up
THRAP3	COSTIM_up
PHPT1	COSTIM_up
LY75	COSTIM_up
CHRDL2	COSTIM_up
RELT	COSTIM_up
NOP58	COSTIM_up
SZRD1	COSTIM_up
CUL1	COSTIM_up
TAB2	COSTIM_up
EIF2AK2	COSTIM_up
MRPL43	COSTIM_up
HPF1	COSTIM_up
ZFR	COSTIM_up
ZNF280C	COSTIM_up
TRAF1	COSTIM_up
SOAT1	COSTIM_up
GDI2	COSTIM_up
PRDM1	COSTIM_up
ATG5	COSTIM_up
TMCC3	COSTIM_up
PITHD1	COSTIM_up
SEC61A1	COSTIM_up
RASGRF1	COSTIM_up
POLR3E	COSTIM_up
RIOK2	COSTIM_up
NDC1	COSTIM_up
ALDH18A1	COSTIM_up
TARBP1	COSTIM_up
GATB	COSTIM_up
CDK17	COSTIM_up
DNAJC25	COSTIM_up
PSD	COSTIM_up
CTDP1	COSTIM_up
YBX3	COSTIM_up
WNK1	COSTIM_up
CCAR1	COSTIM_up
OGFR	COSTIM_up
PIGV	COSTIM_up
SNRNP40	COSTIM_up
QSER1	COSTIM_up
MPC1	COSTIM_up
BCAT1	COSTIM_up
MRPS35	COSTIM_up
SFSWAP	COSTIM_up
GPBP1	COSTIM_up
DGAT2	COSTIM_up
CS	COSTIM_up
MRPS24	COSTIM_up
ELMO2	COSTIM_up
WAPL	COSTIM_up
VMP1	COSTIM_up
POLD1	COSTIM_up
EIF4B	COSTIM_up
RPL18	COSTIM_up
ISOC2	COSTIM_up
U2AF2	COSTIM_up
EPN1	COSTIM_up
AHRR	COSTIM_up
RNF4	COSTIM_up
INTS13	COSTIM_up
TAF2	COSTIM_up
TNPO3	COSTIM_up
RFXANK	COSTIM_up
CTSA	COSTIM_up
SUGP2	COSTIM_up
DDX20	COSTIM_up
BCAS1	COSTIM_up
SBNO2	COSTIM_up
PMS1	COSTIM_up
TAF11	COSTIM_up
AP3D1	COSTIM_up
UHRF1BP1	COSTIM_up
GNAI3	COSTIM_up
IPO5	COSTIM_up
WDR3	COSTIM_up
WDR18	COSTIM_up
MCM10	COSTIM_up
KARS1	COSTIM_up
PDIA5	COSTIM_up
TBC1D22B	COSTIM_up
NDUFB4	COSTIM_up
SPEN	COSTIM_up
ZC3H15	COSTIM_up
SEC61A2	COSTIM_up
MTHFD2	COSTIM_up
SLC9A7	COSTIM_up
YBX1	COSTIM_up
ELAVL1	COSTIM_up
SMARCD1	COSTIM_up
NFYC	COSTIM_up
SLC9A3	COSTIM_up
CD84	COSTIM_up
ELOVL1	COSTIM_up
SPI1	COSTIM_up
ZNRD1	COSTIM_up
GOLGA5	COSTIM_up
LRRC40	COSTIM_up
ISOC1	COSTIM_up
TRMT11	COSTIM_up
MSANTD3	COSTIM_up
ARFGEF1	COSTIM_up
FECH	COSTIM_up
PFKP	COSTIM_up
IDI1	COSTIM_up
KLF6	COSTIM_up
PLPP1	COSTIM_up
TRAM1	COSTIM_up
PHKA1	COSTIM_up
STOML1	COSTIM_up
PKM	COSTIM_up
DHX29	COSTIM_up
DNTTIP2	COSTIM_up
RRP15	COSTIM_up
RHOA	COSTIM_up
IARS2	COSTIM_up
NAV3	COSTIM_up
IDH3G	COSTIM_up
HYAL2	COSTIM_up
HDAC4	COSTIM_up
COASY	COSTIM_up
TFE3	COSTIM_up
ACSL4	COSTIM_up
GPKOW	COSTIM_up
FTSJ1	COSTIM_up
POLR1A	COSTIM_up
TTC7A	COSTIM_up
SRBD1	COSTIM_up
KIF2A	COSTIM_up
PSME4	COSTIM_up
NUP133	COSTIM_up
NUCKS1	COSTIM_up
VPS35	COSTIM_up
DNAJA2	COSTIM_up
KCNAB2	COSTIM_up
FUNDC1	COSTIM_up
ATP1B3	COSTIM_up
MAPK6	COSTIM_up
HDHD5	COSTIM_up
UFD1	COSTIM_up
PHRF1	COSTIM_up
ELP1	COSTIM_up
EXOC5	COSTIM_up
RNF126	COSTIM_up
