gene_name	set
JMJD6	COSTIM_up
ASNS	COSTIM_up
ST6GALNAC2	COSTIM_up
PABPC1	COSTIM_up
CFAP20	COSTIM_up
CSNK2A2	COSTIM_up
EIF2B3	COSTIM_up
TCOF1	COSTIM_up
CDC42	COSTIM_up
SLC12A3	COSTIM_up
RAD18	COSTIM_up
NCK2	COSTIM_up
RPL31	COSTIM_up
WDR1	COSTIM_up
ING3	COSTIM_up
BUD23	COSTIM_up
SEL1L	COSTIM_up
TRIP13	COSTIM_up
ATP6AP1	COSTIM_up
TCF3	COSTIM_up
DAZAP1	COSTIM_up
MBD3	COSTIM_up
FAM50A	COSTIM_up
CPSF1	COSTIM_up
PDCD2	COSTIM_up
RDH11	COSTIM_up
ZFYVE26	COSTIM_up
TFRC	COSTIM_up
SREBF1	COSTIM_up
SMC1A	COSTIM_up
HSD17B10	COSTIM_up
HMMR	COSTIM_up
CHFR	COSTIM_up
TRNT1	COSTIM_up
STK10	COSTIM_up
FBXW11	COSTIM_up
EVC	COSTIM_up
DERL2	COSTIM_up
NDE1	COSTIM_up
AP1M1	COSTIM_up
PVR	COSTIM_up
SCARB1	COSTIM_up
MCM2	COSTIM_up
TP63	COSTIM_up
NLE1	COSTIM_up
SMARCE1	COSTIM_up
FERMT2	COSTIM_up
NSF	COSTIM_up
MRPS34	COSTIM_up
CLNS1A	COSTIM_up
EED	COSTIM_up
TSG101	COSTIM_up
MGLL	COSTIM_up
BCS1L	COSTIM_up
SLC24A1	COSTIM_up
SCARF1	COSTIM_up
LMAN1	COSTIM_up
ENO1	COSTIM_up
MYDGF	COSTIM_up
TUBE1	COSTIM_up
TIPIN	COSTIM_up
SRI	COSTIM_up
EIF4G3	COSTIM_up
NUP37	COSTIM_up
TIMM21	COSTIM_up
RASAL2	COSTIM_up
VPS9D1	COSTIM_up
SLC25A3	COSTIM_up
FNDC3B	COSTIM_up
FSCN1	COSTIM_up
ACTB	COSTIM_up
DLG1	COSTIM_up
RAB7A	COSTIM_up
SART3	COSTIM_up
EXOSC7	COSTIM_up
MKRN2	COSTIM_up
MCM6	COSTIM_up
REXO2	COSTIM_up
RBM7	COSTIM_up
PTPN23	COSTIM_up
MLH1	COSTIM_up
SPAG5	COSTIM_up
TRAF4	COSTIM_up
XAB2	COSTIM_up
MAP2K7	COSTIM_up
TM9SF3	COSTIM_up
NFKB2	COSTIM_up
UBE2T	COSTIM_up
GTF3C1	COSTIM_up
SNRPA	COSTIM_up
EXOSC5	COSTIM_up
DYNC1I2	COSTIM_up
SIRT6	COSTIM_up
CAPZB	COSTIM_up
SLC25A43	COSTIM_up
UBE2A	COSTIM_up
ARAF	COSTIM_up
LAMP3	COSTIM_up
UBE2K	COSTIM_up
TIGAR	COSTIM_up
SYNJ2	COSTIM_up
PMS2P1	COSTIM_up
GNB1	COSTIM_up
MLLT10	COSTIM_up
NRDC	COSTIM_up
VDAC3	COSTIM_up
SDF4	COSTIM_up
THOC1	COSTIM_up
XRCC5	COSTIM_up
REXO1	COSTIM_up
SAR1A	COSTIM_up
SENP1	COSTIM_up
FDFT1	COSTIM_up
PAFAH1B3	COSTIM_up
PGM1	COSTIM_up
DDX1	COSTIM_up
EPB41L2	COSTIM_up
KEAP1	COSTIM_up
RIF1	COSTIM_up
RAB21	COSTIM_up
SRCAP	COSTIM_up
PUM3	COSTIM_up
CNOT4	COSTIM_up
CPOX	COSTIM_up
CLDND1	COSTIM_up
HSP90AA1	COSTIM_up
PCNP	COSTIM_up
UBA5	COSTIM_up
JMJD4	COSTIM_up
IL12RB2	COSTIM_up
WDR70	COSTIM_up
BZW1	COSTIM_up
ME2	COSTIM_up
C5orf22	COSTIM_up
MRPL22	COSTIM_up
GEMIN5	COSTIM_up
NFE2L1	COSTIM_up
GSK3B	COSTIM_up
ITGB5	COSTIM_up
XPO1	COSTIM_up
PALB2	COSTIM_up
LYRM2	COSTIM_up
TNPO1	COSTIM_up
PLOD1	COSTIM_up
DIS3	COSTIM_up
PIBF1	COSTIM_up
NUFIP1	COSTIM_up
CYLD	COSTIM_up
SLC27A5	COSTIM_up
ZNF324	COSTIM_up
RPS5	COSTIM_up
CHMP2B	COSTIM_up
PPIE	COSTIM_up
ZMPSTE24	COSTIM_up
STARD7	COSTIM_up
GSTP1	COSTIM_up
WBP11	COSTIM_up
EIF3I	COSTIM_up
TXLNA	COSTIM_up
RAB10	COSTIM_up
HADHA	COSTIM_up
CAD	COSTIM_up
CD59	COSTIM_up
CD82	COSTIM_up
AK6	COSTIM_up
MECOM	COSTIM_up
PREP	COSTIM_up
SEH1L	COSTIM_up
WDFY1	COSTIM_up
AKR1B1	COSTIM_up
RRN3	COSTIM_up
CTTN	COSTIM_up
MTIF2	COSTIM_up
EPS15	COSTIM_up
CHERP	COSTIM_up
POMGNT1	COSTIM_up
MAST2	COSTIM_up
DNAJA1	COSTIM_up
CHMP5	COSTIM_up
NFX1	COSTIM_up
DIMT1	COSTIM_up
IPO11	COSTIM_up
EIF2AK1	COSTIM_up
EPDR1	COSTIM_up
SEPHS1	COSTIM_up
MRPL28	COSTIM_up
ITPKC	COSTIM_up
RBM22	COSTIM_up
TMED2	COSTIM_up
TXLNG	COSTIM_up
LAT2	COSTIM_up
HUWE1	COSTIM_up
ZW10	COSTIM_up
ALG9	COSTIM_up
ACOX3	COSTIM_up
MTMR2	COSTIM_up
PPP1R15A	COSTIM_up
TRIP6	COSTIM_up
ACHE	COSTIM_up
FTL	COSTIM_up
SRRT	COSTIM_up
BAX	COSTIM_up
ATXN7L3	COSTIM_up
PSMC5	COSTIM_up
OGFOD1	COSTIM_up
SH3BP2	COSTIM_up
NOP14	COSTIM_up
ADD1	COSTIM_up
L2HGDH	COSTIM_up
RTRAF	COSTIM_up
SF3B2	COSTIM_up
KLHL42	COSTIM_up
DNM1L	COSTIM_up
ERGIC2	COSTIM_up
PIR	COSTIM_up
METTL2A	COSTIM_up
CNOT3	COSTIM_up
DDX18	COSTIM_up
KHSRP	COSTIM_up
TPX2	COSTIM_up
PDRG1	COSTIM_up
ANKRD10	COSTIM_up
COQ9	COSTIM_up
KIF9	COSTIM_up
CRLS1	COSTIM_up
ATRN	COSTIM_up
FKBP1A	COSTIM_up
NSFL1C	COSTIM_up
ZNF343	COSTIM_up
XRN2	COSTIM_up
DYNLL1	COSTIM_up
TESC	COSTIM_up
SNX5	COSTIM_up
RPL6	COSTIM_up
MAPKAPK5	COSTIM_up
P2RX7	COSTIM_up
ESF1	COSTIM_up
RBBP9	COSTIM_up
ANAPC5	COSTIM_up
SLC23A2	COSTIM_up
TMEM230	COSTIM_up
KDM2B	COSTIM_up
GCN1	COSTIM_up
RPLP0	COSTIM_up
TRMT6	COSTIM_up
PEBP1	COSTIM_up
BRAP	COSTIM_up
FUS	COSTIM_up
CDIP1	COSTIM_up
KCNH4	COSTIM_up
GANAB	COSTIM_up
MLF2	COSTIM_up
DDX24	COSTIM_up
DHX32	COSTIM_up
GPATCH2L	COSTIM_up
SLC9A1	COSTIM_up
SPTLC1	COSTIM_up
CCNK	COSTIM_up
RGS1	COSTIM_up
MRPS33	COSTIM_up
NDUFB2	COSTIM_up
NUDC	COSTIM_up
MAEA	COSTIM_up
ICAM1	COSTIM_up
STRN4	COSTIM_up
IRAK3	COSTIM_up
MUL1	COSTIM_up
TFAP4	COSTIM_up
PDCD7	COSTIM_up
DNAJB11	COSTIM_up
RAB11FIP3	COSTIM_up
GOLGA3	COSTIM_up
PABPC4	COSTIM_up
CERS4	COSTIM_up
EFNB1	COSTIM_up
AARS1	COSTIM_up
RBM27	COSTIM_up
PUS7	COSTIM_up
DLD	COSTIM_up
WDR7	COSTIM_up
TXNL1	COSTIM_up
CMTM6	COSTIM_up
MAP3K20	COSTIM_up
FH	COSTIM_up
CDV3	COSTIM_up
ALKBH5	COSTIM_up
SPAG7	COSTIM_up
ZC3HC1	COSTIM_up
ESR1	COSTIM_up
TMEM101	COSTIM_up
PSME1	COSTIM_up
PPP2R3C	COSTIM_up
JPH4	COSTIM_up
RNF31	COSTIM_up
SCFD1	COSTIM_up
HECTD1	COSTIM_up
HNRNPC	COSTIM_up
SUPT16H	COSTIM_up
TOX4	COSTIM_up
TGM1	COSTIM_up
TINF2	COSTIM_up
TRPM7	COSTIM_up
WDR76	COSTIM_up
TBX15	COSTIM_up
PHGDH	COSTIM_up
MYL6	COSTIM_up
AGO1	COSTIM_up
CLSPN	COSTIM_up
RFFL	COSTIM_up
NUP50	COSTIM_up
CDC45	COSTIM_up
COMT	COSTIM_up
ECHDC1	COSTIM_up
LRRFIP2	COSTIM_up
XYLB	COSTIM_up
HDAC6	COSTIM_up
CDC6	COSTIM_up
CDC23	COSTIM_up
AAAS	COSTIM_up
CBX5	COSTIM_up
MSH2	COSTIM_up
DHPS	COSTIM_up
ARCN1	COSTIM_up
EPB41L4B	COSTIM_up
TMEM38B	COSTIM_up
PSMD5	COSTIM_up
NUP188	COSTIM_up
NANS	COSTIM_up
BTAF1	COSTIM_up
WAC	COSTIM_up
NUBP2	COSTIM_up
HIVEP1	COSTIM_up
FKBP5	COSTIM_up
SRPK1	COSTIM_up
BRPF3	COSTIM_up
MRPS18A	COSTIM_up
HSP90AB1	COSTIM_up
CDC5L	COSTIM_up
HNRNPH3	COSTIM_up
ABL1	COSTIM_up
ACOT7	COSTIM_up
SH3GLB1	COSTIM_up
CDC7	COSTIM_up
SCD	COSTIM_up
TMED1	COSTIM_up
WASHC2A	COSTIM_up
PSMD8	COSTIM_up
FBXL19	COSTIM_up
SETD1A	COSTIM_up
BCL7C	COSTIM_up
ATP5F1D	COSTIM_up
IGFALS	COSTIM_up
HNRNPM	COSTIM_up
NDUFB7	COSTIM_up
TIMM13	COSTIM_up
CDC34	COSTIM_up
MTAP	COSTIM_up
CEP170B	COSTIM_up
POLR2E	COSTIM_up
POLRMT	COSTIM_up
IZUMO4	COSTIM_up
GADD45B	COSTIM_up
MKNK2	COSTIM_up
TRMT2A	COSTIM_up
RANBP1	COSTIM_up
ZDHHC8	COSTIM_up
MED15	COSTIM_up
SNAP29	COSTIM_up
CRKL	COSTIM_up
LZTR1	COSTIM_up
SMARCB1	COSTIM_up
BCL2L13	COSTIM_up
DDT	COSTIM_up
SF3A1	COSTIM_up
SPECC1L	COSTIM_up
SNRPD3	COSTIM_up
PES1	COSTIM_up
PPM1F	COSTIM_up
MFNG	COSTIM_up
GGA1	COSTIM_up
HIRA	COSTIM_up
SH3BP1	COSTIM_up
LGALS1	COSTIM_up
SRRD	COSTIM_up
TFIP11	COSTIM_up
ANKRD54	COSTIM_up
EIF3L	COSTIM_up
SNU13	COSTIM_up
MICALL1	COSTIM_up
POLR2F	COSTIM_up
TCF20	COSTIM_up
TOMM22	COSTIM_up
XBP1	COSTIM_up
RTCB	COSTIM_up
POLDIP3	COSTIM_up
CYB5R3	COSTIM_up
RHBDD3	COSTIM_up
AP1B1	COSTIM_up
HMGXB4	COSTIM_up
MCAT	COSTIM_up
THOC5	COSTIM_up
TTLL12	COSTIM_up
RPL3	COSTIM_up
ZMAT5	COSTIM_up
ASCC2	COSTIM_up
MIEF1	COSTIM_up
MYH9	COSTIM_up
SAMM50	COSTIM_up
TXN2	COSTIM_up
FOXRED2	COSTIM_up
EIF3D	COSTIM_up
CSF2RB	COSTIM_up
SLC25A17	COSTIM_up
ST13	COSTIM_up
RBX1	COSTIM_up
L3MBTL2	COSTIM_up
RANGAP1	COSTIM_up
ZC3H7B	COSTIM_up
PHF5A	COSTIM_up
ACO2	COSTIM_up
POLR3H	COSTIM_up
TRMU	COSTIM_up
DESI1	COSTIM_up
BRD1	COSTIM_up
ZBED4	COSTIM_up
KHNYN	COSTIM_up
FKBP3	COSTIM_up
PRMT5	COSTIM_up
TRIM9	COSTIM_up
PSMC6	COSTIM_up
GNPNAT1	COSTIM_up
DDHD1	COSTIM_up
CNIH1	COSTIM_up
PSMA3	COSTIM_up
VTI1B	COSTIM_up
TIMM9	COSTIM_up
AHSA1	COSTIM_up
SNW1	COSTIM_up
ITPK1	COSTIM_up
DHRS7	COSTIM_up
PPM1A	COSTIM_up
CEP128	COSTIM_up
ERH	COSTIM_up
SUSD6	COSTIM_up
EIF5	COSTIM_up
ZFYVE21	COSTIM_up
MTHFD1	COSTIM_up
TELO2	COSTIM_up
GSKIP	COSTIM_up
PSMC1	COSTIM_up
PPP4R3A	COSTIM_up
PSMB5	COSTIM_up
YY1	COSTIM_up
ACIN1	COSTIM_up
CCNB1IP1	COSTIM_up
APEX1	COSTIM_up
PABPN1	COSTIM_up
CINP	COSTIM_up
SRP54	COSTIM_up
PCK2	COSTIM_up
PRORP	COSTIM_up
PSMA6	COSTIM_up
NFKBIA	COSTIM_up
EMC9	COSTIM_up
PSME2	COSTIM_up
BRMS1L	COSTIM_up
TM9SF1	COSTIM_up
SEC23A	COSTIM_up
PNN	COSTIM_up
RABGGTA	COSTIM_up
PLTP	COSTIM_up
GSS	COSTIM_up
TRPC4AP	COSTIM_up
GINS1	COSTIM_up
CD40	COSTIM_up
UQCC1	COSTIM_up
RAB5IF	COSTIM_up
NFATC2	COSTIM_up
PFDN4	COSTIM_up
CSTF1	COSTIM_up
RAE1	COSTIM_up
TPD52L2	COSTIM_up
DNAJC5	COSTIM_up
NELFCD	COSTIM_up
PRPF6	COSTIM_up
PRELID3B	COSTIM_up
MTG2	COSTIM_up
PSMA7	COSTIM_up
MRGBP	COSTIM_up
TCFL5	COSTIM_up
GID8	COSTIM_up
SLC17A9	COSTIM_up
ARFGAP1	COSTIM_up
C20orf27	COSTIM_up
ARFRP1	COSTIM_up
NDUFAF5	COSTIM_up
TRIB3	COSTIM_up
RASSF2	COSTIM_up
CSNK2A1	COSTIM_up
HM13	COSTIM_up
SIRPB1	COSTIM_up
SEC23B	COSTIM_up
TM9SF4	COSTIM_up
CRNKL1	COSTIM_up
POFUT1	COSTIM_up
KIF3B	COSTIM_up
NOP56	COSTIM_up
MANBAL	COSTIM_up
IDH3B	COSTIM_up
MAPRE1	COSTIM_up
JAG1	COSTIM_up
CDK5RAP1	COSTIM_up
TTI1	COSTIM_up
E2F1	COSTIM_up
RPRD1B	COSTIM_up
CHMP4B	COSTIM_up
ASIP	COSTIM_up
ACTR5	COSTIM_up
AHCY	COSTIM_up
DHX35	COSTIM_up
DNTTIP1	COSTIM_up
PIGU	COSTIM_up
APMAP	COSTIM_up
ADNP2	COSTIM_up
RBFA	COSTIM_up
USP14	COSTIM_up
VAPA	COSTIM_up
RNMT	COSTIM_up
MIB1	COSTIM_up
RBBP8	COSTIM_up
RIOK3	COSTIM_up
CSTF2	COSTIM_up
PSMD10	COSTIM_up
PGRMC1	COSTIM_up
POLA1	COSTIM_up
NKAP	COSTIM_up
NXT2	COSTIM_up
MCTS2P	COSTIM_up
PRPS2	COSTIM_up
SUV39H1	COSTIM_up
XIAP	COSTIM_up
CCDC22	COSTIM_up
NAA10	COSTIM_up
RENBP	COSTIM_up
PIM2	COSTIM_up
PQBP1	COSTIM_up
EMD	COSTIM_up
PGK1	COSTIM_up
MAGT1	COSTIM_up
SMS	COSTIM_up
EEA1	COSTIM_up
JADE3	COSTIM_up
CDK16	COSTIM_up
HTATSF1	COSTIM_up
RBM3	COSTIM_up
PBDC1	COSTIM_up
GLA	COSTIM_up
ARMCX3	COSTIM_up
NDFIP2	COSTIM_up
DNAJC3	COSTIM_up
ARHGEF7	COSTIM_up
MRPS31	COSTIM_up
SLC25A15	COSTIM_up
KPNA3	COSTIM_up
VWA8	COSTIM_up
INTS6	COSTIM_up
MGRN1	COSTIM_up
TRADD	COSTIM_up
HSF4	COSTIM_up
LYRM1	COSTIM_up
NUTF2	COSTIM_up
NUP93	COSTIM_up
CCL22	COSTIM_up
DHODH	COSTIM_up
CCL17	COSTIM_up
ACD	COSTIM_up
POLR2C	COSTIM_up
USB1	COSTIM_up
CYB5B	COSTIM_up
NME3	COSTIM_up
NDRG4	COSTIM_up
PSMD7	COSTIM_up
SETD6	COSTIM_up
SLC38A7	COSTIM_up
VAC14	COSTIM_up
MON1B	COSTIM_up
CMC2	COSTIM_up
AXIN1	COSTIM_up
NPRL3	COSTIM_up
TAF1C	COSTIM_up
USP10	COSTIM_up
ABCC1	COSTIM_up
NOMO3	COSTIM_up
CLCN7	COSTIM_up
HAGHL	COSTIM_up
ANTKMT	COSTIM_up
SLC7A5	COSTIM_up
STUB1	COSTIM_up
NUBP1	COSTIM_up
UBE2I	COSTIM_up
EEF2K	COSTIM_up
CAPN15	COSTIM_up
PIEZO1	COSTIM_up
GSPT1	COSTIM_up
UBFD1	COSTIM_up
EARS2	COSTIM_up
ELOB	COSTIM_up
USP31	COSTIM_up
HMOX2	COSTIM_up
DNAJA3	COSTIM_up
BFAR	COSTIM_up
RRN3P2	COSTIM_up
RPGRIP1L	COSTIM_up
MAZ	COSTIM_up
STX4	COSTIM_up
BCKDK	COSTIM_up
KAT8	COSTIM_up
NOMO1	COSTIM_up
IL21R	COSTIM_up
VPS35L	COSTIM_up
RNF40	COSTIM_up
KNOP1	COSTIM_up
AAGAB	COSTIM_up
LACTB	COSTIM_up
CSK	COSTIM_up
TRIP4	COSTIM_up
RAB11A	COSTIM_up
CTSH	COSTIM_up
FAH	COSTIM_up
RPAP1	COSTIM_up
EHD4	COSTIM_up
ZNF106	COSTIM_up
ATP8B4	COSTIM_up
GABPB1	COSTIM_up
DNAJC17	COSTIM_up
EIF3J	COSTIM_up
VPS18	COSTIM_up
CSPP1	COSTIM_up
BRF2	COSTIM_up
CA2	COSTIM_up
INTS9	COSTIM_up
RIPK2	COSTIM_up
NBN	COSTIM_up
TRPA1	COSTIM_up
IMPAD1	COSTIM_up
LAPTM4B	COSTIM_up
POP1	COSTIM_up
JPH1	COSTIM_up
STK3	COSTIM_up
GDAP1	COSTIM_up
RAB2A	COSTIM_up
EIF3E	COSTIM_up
EMC2	COSTIM_up
IL7	COSTIM_up
ARMC1	COSTIM_up
CHRAC1	COSTIM_up
SNX16	COSTIM_up
UBR5	COSTIM_up
TSTA3	COSTIM_up
PYCR3	COSTIM_up
EEF1D	COSTIM_up
SQLE	COSTIM_up
SLC39A14	COSTIM_up
MTMR9	COSTIM_up
LEPROTL1	COSTIM_up
DCTN6	COSTIM_up
R3HCC1	COSTIM_up
GSR	COSTIM_up
TNFRSF10A	COSTIM_up
UBXN8	COSTIM_up
PPP2CB	COSTIM_up
KLHDC4	COSTIM_up
MCM4	COSTIM_up
MAN2B1	COSTIM_up
KCNN4	COSTIM_up
HNRNPL	COSTIM_up
NFKBIB	COSTIM_up
SARS2	COSTIM_up
SNRNP70	COSTIM_up
CLPTM1	COSTIM_up
RELB	COSTIM_up
PPP1R37	COSTIM_up
ERCC2	COSTIM_up
DOT1L	COSTIM_up
PLEKHJ1	COSTIM_up
RNASEH2A	COSTIM_up
SF3A2	COSTIM_up
OAZ1	COSTIM_up
TRMT1	COSTIM_up
RSPH6A	COSTIM_up
TBC1D17	COSTIM_up
IL4I1	COSTIM_up
PTOV1	COSTIM_up
SGTA	COSTIM_up
C19orf53	COSTIM_up
TIMM44	COSTIM_up
FAM32A	COSTIM_up
PPP6R1	COSTIM_up
MED26	COSTIM_up
AKAP8	COSTIM_up
ILVBL	COSTIM_up
POP4	COSTIM_up
CCNE1	COSTIM_up
URI1	COSTIM_up
PDCD5	COSTIM_up
ANKRD27	COSTIM_up
RPS16	COSTIM_up
TIMM50	COSTIM_up
FBL	COSTIM_up
GPI	COSTIM_up
PIAS4	COSTIM_up
EBI3	COSTIM_up
YJU2	COSTIM_up
TBCB	COSTIM_up
POLR2I	COSTIM_up
SLC1A5	COSTIM_up
CACTIN	COSTIM_up
CCDC9	COSTIM_up
HNRNPUL1	COSTIM_up
TGFB1	COSTIM_up
DMAC2	COSTIM_up
MRPL4	COSTIM_up
RPS19	COSTIM_up
BABAM1	COSTIM_up
TYK2	COSTIM_up
CDC37	COSTIM_up
NAPA	COSTIM_up
MEGF8	COSTIM_up
GRWD1	COSTIM_up
PLA2G4C	COSTIM_up
TMEM205	COSTIM_up
BCAT2	COSTIM_up
MIER2	COSTIM_up
PPP2R1A	COSTIM_up
TNPO2	COSTIM_up
WDR83OS	COSTIM_up
GCDH	COSTIM_up
PRPF31	COSTIM_up
TFPT	COSTIM_up
JAK3	COSTIM_up
RPL18A	COSTIM_up
KCNN1	COSTIM_up
PIK3R2	COSTIM_up
ELL	COSTIM_up
COPE	COSTIM_up
DDX49	COSTIM_up
ARMC6	COSTIM_up
TMEM147	COSTIM_up
KXD1	COSTIM_up
SUGP1	COSTIM_up
PBX4	COSTIM_up
GSK3A	COSTIM_up
ATP13A1	COSTIM_up
ZNF574	COSTIM_up
SMG9	COSTIM_up
CDK6	COSTIM_up
PMPCB	COSTIM_up
DNAJC2	COSTIM_up
TFPI2	COSTIM_up
NAMPT	COSTIM_up
TWISTNB	COSTIM_up
WDR91	COSTIM_up
CBLL1	COSTIM_up
MTPN	COSTIM_up
STEAP1B	COSTIM_up
TTC26	COSTIM_up
OGDH	COSTIM_up
TFEC	COSTIM_up
CAV1	COSTIM_up
MET	COSTIM_up
DNAJB6	COSTIM_up
SSBP1	COSTIM_up
GARS1	COSTIM_up
CHCHD2	COSTIM_up
HSPB1	COSTIM_up
PDAP1	COSTIM_up
BUD31	COSTIM_up
PTCD1	COSTIM_up
EIF3B	COSTIM_up
SNX8	COSTIM_up
TAF6	COSTIM_up
AIMP2	COSTIM_up
RBM28	COSTIM_up
USP42	COSTIM_up
LSM5	COSTIM_up
AP1S1	COSTIM_up
ZNHIT1	COSTIM_up
PHF14	COSTIM_up
EZH2	COSTIM_up
MEST	COSTIM_up
MEOX2	COSTIM_up
AHR	COSTIM_up
CHCHD3	COSTIM_up
PSMA2	COSTIM_up
MRPL32	COSTIM_up
BLVRA	COSTIM_up
URGCP	COSTIM_up
TMEM248	COSTIM_up
RHEB	COSTIM_up
POLD2	COSTIM_up
BCL7B	COSTIM_up
YKT6	COSTIM_up
TBL2	COSTIM_up
CLIP2	COSTIM_up
EIF4H	COSTIM_up
FSD1L	COSTIM_up
TGFBR1	COSTIM_up
SEC61B	COSTIM_up
OGN	COSTIM_up
ECM2	COSTIM_up
SUSD1	COSTIM_up
CDC37L1	COSTIM_up
PLGRKT	COSTIM_up
NCS1	COSTIM_up
FUBP3	COSTIM_up
CREB3	COSTIM_up
EDF1	COSTIM_up
PIP5K1B	COSTIM_up
BAG1	COSTIM_up
RAPGEF1	COSTIM_up
EXOSC3	COSTIM_up
ZFAND5	COSTIM_up
DVL1	COSTIM_up
CCNJ	COSTIM_up
RASSF4	COSTIM_up
ERLIN1	COSTIM_up
EIF3A	COSTIM_up
TRDMT1	COSTIM_up
DDX50	COSTIM_up
MAPK8	COSTIM_up
SEC23IP	COSTIM_up
NSMCE4A	COSTIM_up
MICU1	COSTIM_up
CCSER2	COSTIM_up
TWNK	COSTIM_up
NPM3	COSTIM_up
GBF1	COSTIM_up
ARHGAP21	COSTIM_up
FBXL15	COSTIM_up
CUEDC2	COSTIM_up
LARP4B	COSTIM_up
GTPBP4	COSTIM_up
BCCIP	COSTIM_up
MTPAP	COSTIM_up
PITRM1	COSTIM_up
STN1	COSTIM_up
MAP3K8	COSTIM_up
GLRX3	COSTIM_up
TASOR2	COSTIM_up
XPNPEP1	COSTIM_up
SMC3	COSTIM_up
TFAM	COSTIM_up
CCDC6	COSTIM_up
CUL2	COSTIM_up
CCNY	COSTIM_up
UBE2S	COSTIM_up
RPL28	COSTIM_up
ZMIZ1	COSTIM_up
PPIF	COSTIM_up
NUFIP2	COSTIM_up
RPL19	COSTIM_up
UBTF	COSTIM_up
PSMD3	COSTIM_up
CASC3	COSTIM_up
RAD51C	COSTIM_up
MTMR4	COSTIM_up
DHX40	COSTIM_up
KPNB1	COSTIM_up
PNPO	COSTIM_up
CBX1	COSTIM_up
INTS2	COSTIM_up
CAMTA2	COSTIM_up
ENO3	COSTIM_up
PFN1	COSTIM_up
RNF167	COSTIM_up
SLC25A11	COSTIM_up
C1QBP	COSTIM_up
BLMH	COSTIM_up
GOSR1	COSTIM_up
CCDC47	COSTIM_up
DRG2	COSTIM_up
FTSJ3	COSTIM_up
SMARCD2	COSTIM_up
SYNGR2	COSTIM_up
UTP6	COSTIM_up
C17orf75	COSTIM_up
CYTH1	COSTIM_up
PSMD11	COSTIM_up
CCL2	COSTIM_up
PEX12	COSTIM_up
KAT2A	COSTIM_up
RAB5C	COSTIM_up
MLX	COSTIM_up
CNTNAP1	COSTIM_up
PPP1R9B	COSTIM_up
MRPL27	COSTIM_up
LRRC59	COSTIM_up
EFTUD2	COSTIM_up
SLC16A6	COSTIM_up
YWHAE	COSTIM_up
MMD	COSTIM_up
RANGRF	COSTIM_up
DHRS7B	COSTIM_up
NAT9	COSTIM_up
TMEM104	COSTIM_up
TMEM97	COSTIM_up
UNC119	COSTIM_up
SUPT6H	COSTIM_up
RAB34	COSTIM_up
TMEM33	COSTIM_up
SLAIN2	COSTIM_up
OCIAD1	COSTIM_up
USP46	COSTIM_up
CRACD	COSTIM_up
LAMTOR3	COSTIM_up
NFKB1	COSTIM_up
UBE2D3	COSTIM_up
NDUFC1	COSTIM_up
ZNF330	COSTIM_up
GRPEL1	COSTIM_up
GAR1	COSTIM_up
CLCN3	COSTIM_up
DHX15	COSTIM_up
FBXW7	COSTIM_up
NSD2	COSTIM_up
SH3D19	COSTIM_up
MFSD10	COSTIM_up
UFSP2	COSTIM_up
UGDH	COSTIM_up
HTATIP2	COSTIM_up
CTSC	COSTIM_up
ZPR1	COSTIM_up
MTCH2	COSTIM_up
HSPA8	COSTIM_up
LPXN	COSTIM_up
DTX4	COSTIM_up
EHD1	COSTIM_up
OSBP	COSTIM_up
PUS3	COSTIM_up
DCPS	COSTIM_up
FOXRED1	COSTIM_up
CCND1	COSTIM_up
CCDC86	COSTIM_up
PRPF19	COSTIM_up
TMEM109	COSTIM_up
CHORDC1	COSTIM_up
ANAPC15	COSTIM_up
PANX1	COSTIM_up
CEP164	COSTIM_up
EIF4G2	COSTIM_up
UBE4A	COSTIM_up
DDX6	COSTIM_up
NECTIN1	COSTIM_up
PDHX	COSTIM_up
COMMD9	COSTIM_up
AMBRA1	COSTIM_up
PTPMT1	COSTIM_up
CARS1	COSTIM_up
SLC35F2	COSTIM_up
C11orf58	COSTIM_up
RPS13	COSTIM_up
AIP	COSTIM_up
NUP98	COSTIM_up
NDUFS8	COSTIM_up
CHKA	COSTIM_up
HPS5	COSTIM_up
GTF2H1	COSTIM_up
POU2AF1	COSTIM_up
PSMD9	COSTIM_up
PRPF40B	COSTIM_up
COQ5	COSTIM_up
KCTD10	COSTIM_up
MLEC	COSTIM_up
MVK	COSTIM_up
CAMKK2	COSTIM_up
ATP5F1B	COSTIM_up
PTGES3	COSTIM_up
BCL7A	COSTIM_up
RSRC2	COSTIM_up
CYP27B1	COSTIM_up
METAP2	COSTIM_up
WNT5B	COSTIM_up
MAGOHB	COSTIM_up
PRR4	COSTIM_up
ARPC3	COSTIM_up
GPN3	COSTIM_up
VPS29	COSTIM_up
SH2B3	COSTIM_up
NAA25	COSTIM_up
OGFOD2	COSTIM_up
CDK2AP1	COSTIM_up
OAS3	COSTIM_up
GTF2H3	COSTIM_up
EIF2B1	COSTIM_up
DDX55	COSTIM_up
SLC38A1	COSTIM_up
C12orf49	COSTIM_up
VDR	COSTIM_up
COPZ1	COSTIM_up
CAND1	COSTIM_up
NUP107	COSTIM_up
CNOT2	COSTIM_up
CPSF6	COSTIM_up
KRR1	COSTIM_up
MRPL51	COSTIM_up
GAPDH	COSTIM_up
NOP2	COSTIM_up
UHRF1BP1L	COSTIM_up
COPS7A	COSTIM_up
USP5	COSTIM_up
TPI1	COSTIM_up
