TF	Targets
ATF1	MTA2
ATF1	MVB12A
ATF1	MYL12A
ATF1	MYO9B
ATF1	NAA20
ATF1	NAA40
ATF1	NAA50
ATF1	NAXE
ATF1	NCBP2
ATF1	NCDN
ATF1	NDFIP2
ATF1	NDUFA10
ATF1	NDUFB7
ATF1	NETO2
ATF1	NFKBIZ
ATF1	NGDN
ATF1	NIP7
ATF1	NOL11
ATF1	NOLC1
ATF1	NOP2
ATF1	NOP58
ATF1	NPLOC4
ATF1	NPM1
ATF1	NR1H2
ATF1	NRP2
ATF1	NUDC
ATF1	NUFIP1
ATF1	NUMBL
ATF1	NUP107
ATF1	NUP54
ATF1	NXF1
ATF1	OAT
ATF1	ODC1
ATF1	ORC2
ATF1	ORMDL1
ATF1	PABPC1
ATF1	PABPC4
ATF1	PARM1
ATF1	PARVB
ATF1	PATL1
ATF1	PATZ1
ATF1	PCBP1
ATF1	PCGF1
ATF1	PDCD11
ATF1	PDSS1
ATF1	PFDN2
ATF1	PGM2
ATF1	PHF20
ATF1	PHF5A
ATF1	PICK1
ATF1	PLEKHA1
ATF1	PMAIP1
ATF1	PNO1
ATF1	PNPO
ATF1	PNPT1
ATF1	POC1B
ATF1	POLDIP3
ATF1	POLR2H
ATF1	POLR2K
ATF1	POLR3H
ATF1	PPA1
ATF1	PPIL1
ATF1	PPIL2
ATF1	PPM1A
ATF1	PPP1R11
ATF1	PPP1R37
ATF1	PPP3R1
ATF1	PREPL
ATF1	PRPF18
ATF1	PSMA6
ATF1	PSMG4
ATF1	PTGES3
ATF1	PUF60
ATF1	RAB7A
ATF1	RAD23A
ATF1	RAN
ATF1	RBM22
ATF1	RBM25
ATF1	RBM8A
ATF1	RBPJ
ATF1	REL
ATF1	RER1
ATF1	RFX7
ATF1	RFXAP
ATF1	RIC1
ATF1	RING1
ATF1	RNF139
ATF1	RNF4
ATF1	RNPS1
ATF1	RPL18A
ATF1	RPL21
ATF1	RPL23A
ATF1	RPL38
ATF1	RPRD1A
ATF1	RPS10
ATF1	RPS17
ATF1	RPS21
ATF1	RPS27
ATF1	RPS27A
ATF1	RPS29
ATF1	RPS3A
ATF1	RPS6KA5
ATF1	RPS6KB2
ATF1	RSF1
ATF1	RSL1D1
ATF1	SAFB
ATF1	SCAF11
ATF1	SCNM1
ATF1	SCO1
ATF1	SCYL3
ATF1	SDCBP
ATF1	SEPT7
ATF1	SERPINE2
ATF1	SET
ATF1	SETD4
ATF1	SF3A3
ATF1	SF3B2
ATF1	SFXN1
ATF1	SIKE1
ATF1	SIN3A
ATF1	SLC16A1
ATF1	SLC35F6
ATF1	SLC39A6
ATF1	SLC46A3
ATF1	SLC4A8
ATF1	SLMAP
ATF1	SLU7
ATF1	SMIM14
ATF1	SMYD3
ATF1	SNF8
ATF1	SNHG15
ATF1	SNW1
ATF1	SOAT1
ATF1	SP110
ATF1	SRFBP1
ATF1	SRSF5
ATF1	SRSF6
ATF1	STAU1
ATF1	STK26
ATF1	STYXL1
ATF1	SZRD1
ATF1	TAF2
ATF1	TBC1D7
ATF1	TBC1D9B
ATF1	TCEA2
ATF1	TCOF1
ATF1	TCP1
ATF1	TCP11L1
ATF1	TFE3
ATF1	THRAP3
ATF1	TIAL1
ATF1	TIMM17A
ATF1	TIMM22
ATF1	TLE3
ATF1	TM2D3
ATF1	TMEM147-AS1
ATF1	TMEM237
ATF1	TMEM242
ATF1	TMEM33
ATF1	TMUB1
ATF1	TNFAIP8
ATF1	TOMM40
ATF1	TPR
ATF1	TRIP6
ATF1	TRMT112
ATF1	TSR2
ATF1	TTC17
ATF1	TUFM
ATF1	TWISTNB
ATF1	U2SURP
ATF1	UBAC2-AS1
ATF1	UBC
ATF1	UBE2K
ATF1	UBE2N
ATF1	UBE2V2
ATF1	UBL7
ATF1	UBR5
ATF1	UBXN1
ATF1	USB1
ATF1	USP16
ATF1	USP30
ATF1	UTP18
ATF1	UTP3
ATF1	UTP6
ATF1	VAC14
ATF1	VDAC1
ATF1	VPS4B
ATF1	VRK2
